message_id,thread_id,text,proposed_intent,llm_intent,llm_confidence,true_intent,escalate_yn,escalate_reason,labelled_by,human_verified
GS_0001,2137887,@AmazonHelp I have an Prime account and three of my last order are delayed. I had several calls with your french department assistance. And no one is able to give me « real » answer the point is I paid for a service which is to be delivered in 24h and for theses order it’s 5days now,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,True,[human_review_v1:rule:repeat_contact] Customer has had multiple failed interactions with support and is expressing significant frustration regarding service level agreements.,human_review_v1,True
GS_0002,1391009,"@AmazonHelp DPD, they sent me a text at 10:07 saying they would deliver my Amazon order between 11:28 and 12:28",ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0003,1141562,@115850  unsatisfied Eid  amazon. Too much bad 405-8158996-7018755.order still not recieve too much fake commitment from representative,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,True,[human_review_v1:rule:public_pii] PII present in the form of an order number,human_review_v1,True
GS_0004,415097,Does @115821 do price adjustments? My order was placed on 01 OCT.  @AmazonHelp,ORDER_STATUS,ORDER_STATUS,0.85,GENERAL_COMPLAINT,False,,human_review_v1,True
GS_0005,898196,@AmazonHelp this is now the second item in a week that has failed to arrive on time or at all. Getting quite fed up with Prime.,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0006,1868695,@115850 I ordered earphones (no. - 408-1899080-9287553 ) . Delivery Never even came to me.  Really disappointed with the service . https://t.co/YHJgYR5tga,ORDER_STATUS,DELIVERY_DAMAGE,0.95,ORDER_STATUS,True,[human_review_v1:rule:public_pii] ,human_review_v1,True
GS_0007,2126209,@AmazonHelp Still no change to my delivery and the game comes out tomorrow? Help? 😰 https://t.co/nTXP7gMbqX,ORDER_STATUS,ORDER_STATUS,1.0,ORDER_STATUS,False,,human_review_v1,True
GS_0008,127936,"I don't know if I want to order anything from @115821 for Black Friday this year considering they have delivered my last 3 packages to the wrong apartment building, two of which were really expensive",ORDER_STATUS,DELIVERY_DAMAGE,0.95,DELIVERY_DAMAGE,False,"Customer reports repeated delivery failures and loss of expensive items, indicating a recurring service failure requiring human intervention.",human_review_v1,True
GS_0009,937311,@AmazonHelp Either stuff is missing at drop off or delayed past doorstep delivery time... or this weekend site wasn’t working.,ORDER_STATUS,DELIVERY_DAMAGE,0.85,DELIVERY_DAMAGE,False,,human_review_v1,True
GS_0010,1643407,@117795 my order is 30 minutes late and the customer service call back isn’t working...someone DM me!! Please!!! https://t.co/sunveHteiQ,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,True,[human_review_v1:rule:repeat_contact] Customer is expressing distress and requesting urgent direct contact via DM.,human_review_v1,True
GS_0011,1155116,It’s great that @115821 prime gives discounts on special editions. This is the second one we’ve order and both were damaged. Never again. 😡,ORDER_STATUS,DELIVERY_DAMAGE,0.95,DELIVERY_DAMAGE,False,,human_review_v1,True
GS_0012,2866117,@AmazonHelp I'm trying to cancel an order from the Amazon app but it just leads me to a white screen with nothing and it's not shipped or anything how do I cancel it,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0013,424005,"@115821 ordered ink on 10/1 and still hasn't been delivered. i need to be able to print from home and do my job, how is this prime? https://t.co/LEp5jCKzht",ORDER_STATUS,ORDER_STATUS,1.0,ORDER_STATUS,False,,human_review_v1,True
GS_0014,947679,WTH is going on at @115821 2 horribly screwed up Prime orders in the same week?,ORDER_STATUS,GENERAL_COMPLAINT,0.85,GENERAL_COMPLAINT,False,,human_review_v1,True
GS_0015,2826542,@173744 I’m a bit confused!  How is it if I placed an order now (Monday at 10:04am) that one day deliver is on Thursday?  What happened to Tuesday and Wednesday? #calendarrevamp? #confused @115830 @AmazonHelp,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0016,1248309,@AmazonHelp Are you guys able to DM so I can screenshot my item and address plus tracking #,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,Customer is requesting to share PII (address and tracking number) via DM,human_review_v1,True
GS_0017,790237,@115850   ordered using fast delivery but still not recieved the order and followed up thrice at call centre please do something.patetic😡,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,True,[human_review_v1:rule:repeat_contact] Customer has followed up multiple times without resolution and is expressing high frustration.,human_review_v1,True
GS_0018,380191,"@115850 order :407-5264538-1697154
i haven't ordered anything this year,
But u canceled my order as i crossed d limit, what d hell is dis?",ORDER_STATUS,ACCOUNT_ACCESS,0.85,ACCOUNT_ACCESS,True,[human_review_v1:rule:public_pii] Potential unauthorized account activity or security breach as customer claims they did not place the order.,human_review_v1,True
GS_0019,141928,"@AmazonHelp I did contact, twice. Seems there's no one handling it responsibly. Today I got 2know I have wait 3-4days cuz of your error. I needed the product today, as per the original delivery schedule",ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,True,[human_review_v1:rule:repeat_contact] Customer is expressing significant frustration regarding repeated failed service and missed delivery deadlines.,human_review_v1,True
GS_0020,321353,Waiting in for an Amazon logistics delivery is boring :-(,ORDER_STATUS,GENERAL_COMPLAINT,0.95,GENERAL_COMPLAINT,False,,human_review_v1,True
GS_0021,60273,LOL @115830 by far THE WORST experience! Waited all day for a delivery to be told...'yeah it's not coming...ah well' #EpicFail #Retailfail,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0022,691150,Very disappointed with @115850 .They promised to deliver it on 9th oct. but now my delivery is delayed. I don't know why they do that. https://t.co/EyMLQkVKhI,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0023,2682208,"Halloween costume hasn’t arrived from @115821 yet, fuming paid for two day delivery and it was meant to be here yesterday!",ORDER_STATUS,ORDER_STATUS,1.0,ORDER_STATUS,False,,human_review_v1,True
GS_0024,2597122,@115821 paid for same day delivery and it’s still not here. 🤬🤬🤬 https://t.co/WTdpHNxLXY,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0025,2429478,"So when did @115821 Prime shipping turn into 3 days? Everything I've been ordering lately has taken more than 2 days. Ordered today, Tuesday, and won't be delivered until Friday?",ORDER_STATUS,PRIME_SUBSCRIPTION,0.95,PRIME_SUBSCRIPTION,False,,human_review_v1,True
GS_0026,2750365,"@AmazonHelp I've now had two packages that were supposed to be delivered on Sunday marked as delivered and were never seen. I've been home, waiting for them both times and had them marked delivered while waiting only to never see the driver at all.",ORDER_STATUS,DELIVERY_DAMAGE,0.95,ORDER_STATUS,False,Multiple failed deliveries and potential theft/misdelivery issue requiring investigation.,human_review_v1,True
GS_0027,2625332,@115821 Ex: Took 4 months for tubing to be shipped. Took over month for tea bags to be shipped. Now telling lab members to order fm elsewhere.,ORDER_STATUS,GENERAL_COMPLAINT,0.95,GENERAL_COMPLAINT,False,,human_review_v1,True
GS_0028,2345569,"@115830 why is every Prime item saying delivery for Wednesday? I pay a lot of money for Prime for next day delivery, not 3 day delivery! How will I be compensated for this?",ORDER_STATUS,PRIME_SUBSCRIPTION,0.95,PRIME_SUBSCRIPTION,False,,human_review_v1,True
GS_0029,423535,"@10265 I have booked few item from @115850 @AmazonHelp 171 2507067 9234757 order id.
Has been refuse to deliver at home.",ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,True,[human_review_v1:rule:public_pii] ,human_review_v1,True
GS_0030,2940204,@AmazonHelp Just that an operating change is causing delays. And the other package has been loaded on a truck for last few hours.,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0031,1464272,@AmazonHelp Not yet can you tell me what’s going on if I can if I can give you order number?,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0032,118828,Why does @116090  even bother offering two day shipping when they send it regular mail via @132668 .  It never arrives in that time frame.,ORDER_STATUS,ORDER_STATUS,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0033,449974,Anyone else experiencing issues with @115821 prime? Several of my orders over the last few weeks have taken more than 2 days for delivery. Why pay for this service?!,ORDER_STATUS,PRIME_SUBSCRIPTION,0.95,PRIME_SUBSCRIPTION,False,,human_review_v1,True
GS_0034,998057,Amazon just delivered my package and they took a snapshot of it and seemingly used their OWN delivery carrier? Anyone else ever had this ha…,ORDER_STATUS,DELIVERY_DAMAGE,0.85,GENERAL_COMPLAINT,False,Ambiguous delivery procedure and potential security concern regarding carrier identity.,human_review_v1,True
GS_0035,288269,@115850 incomplete product delivered &amp; ur now nt taking any report &amp; directing 2 ship it instead .Order No. 407-4652148-9585951,ORDER_STATUS,DELIVERY_DAMAGE,0.95,DELIVERY_DAMAGE,True,[human_review_v1:rule:public_pii] ,human_review_v1,True
GS_0036,2263090,"@AmazonHelp I am returning an order and have my proof from the post office, but not had a confirmation from you yet. Posted it Saturday. Thanks",RETURN_REFUND,RETURN_REFUND,1.0,RETURN_REFUND,False,,human_review_v1,True
GS_0037,1741708,has amazon changed their return process? both the items in my order are defective &amp; I have to pay for the return postage...,RETURN_REFUND,RETURN_REFUND,1.0,RETURN_REFUND,False,,human_review_v1,True
GS_0038,2697200,@115821 said they're not going to reimburse me my package I never received @134015 DISPUTE THE WHOLE CHARGE PLEASE !!!!,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,True,"[human_review_v1:rule:fraud] Customer is demanding a full chargeback/dispute, which requires human intervention to handle financial escalation.",human_review_v1,True
GS_0039,641813,"@AmazonHelp Can you help please? Yesterday Hermes left a card to say they came to collect the parcel &amp; would return today. No-one has come! Trying to return this within your time frame, can you help please? (Have removed my address from the pic) https://t.co/PR1B1MX1zH",RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0040,1281420,@115821 @8623 @115850 I have filed the details but I already contacted tech support they strictly denied. Pls make replacement or refund my money,RETURN_REFUND,RETURN_REFUND,1.0,RETURN_REFUND,True,[human_review_v1:rule:repeat_contact] ,human_review_v1,True
GS_0041,152027,"@AmazonHelp Oh just the usual delayed packages, then wrong items received and then after 2 hours of talking, £10 promo credit received.",RETURN_REFUND,GENERAL_COMPLAINT,0.9,GENERAL_COMPLAINT,False,,human_review_v1,True
GS_0042,56932,@115850 How can refunds this my money https://t.co/vzd9YnpQ6U,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0043,291356,@115850 i just cancelled an order that was paid through amazon pay. How long would it take to receive the refund?,RETURN_REFUND,RETURN_REFUND,1.0,RETURN_REFUND,False,,human_review_v1,True
GS_0044,322616,@115850 your delivery agent says that I'm bound to pay by card for COD orders and are returning my orders back to seller.,RETURN_REFUND,ORDER_STATUS,0.95,ORDER_STATUS,False,Customer is reporting a delivery failure due to agent misconduct/policy dispute requiring intervention.,human_review_v1,True
GS_0045,2798344,@AmazonHelp It says fulfilled by Amazon. I haven’t returned it yet,RETURN_REFUND,RETURN_REFUND,0.85,RETURN_REFUND,False,,human_review_v1,True
GS_0046,55052,@115850 Order ID: 171-7504339-9867535. return is complete and refund has issued. But i haven't received any amount till now.,RETURN_REFUND,RETURN_REFUND,1.0,RETURN_REFUND,True,[human_review_v1:rule:public_pii] ,human_review_v1,True
GS_0047,2093915,@AmazonHelp Yes my order was split into multiple packages and so far two deliveries have been returned indicating customer refused,RETURN_REFUND,DELIVERY_DAMAGE,0.95,DELIVERY_DAMAGE,False,Complex delivery issue involving multiple packages and incorrect return status,human_review_v1,True
GS_0048,2435206,I returned an item with missing screws to Amazon at cost of £8.39. Disappointed to receive only £4.75 back in refund. See pic. @AmazonHelp https://t.co/LfOXlADOBa,RETURN_REFUND,RETURN_REFUND,1.0,RETURN_REFUND,False,,human_review_v1,True
GS_0049,2520599,Loved my #weighted #blanket but needed to change the weight due to joint issues &amp; the company wouldn’t work with me they just wanted me to return it &amp; send it to some random person in California then I’d get a full refund which isn’t what I was asking for.... #YnM .@115821,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,"Customer is expressing frustration with a specific return/exchange policy and mentions a third-party company, indicating a complex service issue.",human_review_v1,True
GS_0050,471536,@AmazonHelp Hi this is the same place I wrote the first email to - just the standard customer service email. Is there a real person I can email who can help me get my money back please?,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,True,[human_review_v1:rule:repeat_contact] Customer is expressing frustration with standard support channels and requesting direct human intervention.,human_review_v1,True
GS_0051,787134,"@AmazonHelp Ordered Snesclassic yesterday. Deliver 8-10am today. Says delivered. Nowhere to be seen. Speak to CS on the phone, offered refund (1 of 2)",RETURN_REFUND,DELIVERY_DAMAGE,0.95,ORDER_STATUS,False,,human_review_v1,True
GS_0052,434605,"@AmazonHelp handle refund my money, SUCH A PATHETIC SERVICE AND ESCALATION HADLING TEAM IN @115850 @115821 @AmazonHelp",RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,True,[human_review_v1:rule:repeat_contact] Customer is expressing extreme frustration and using aggressive language towards the support team.,human_review_v1,True
GS_0053,2568119,"@AmazonHelp 
will you please help me out
I am having problem with return/exchange product.

Are you helpful in your Indian market?",RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0054,2493727,@AmazonHelp I need them for Friday so I'm not messing around with returns today. Can you send me what I ordered? Ill send back ur 2 quid belt Friday.,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,Customer is reporting an incorrect item received and proposing a non-standard exchange process.,human_review_v1,True
GS_0055,2238180,@AmazonHelp still waiting for refund of failed transaction on amazon pay @115823,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0056,1191335,"@AmazonHelp @115850 Had ordered this saree https://t.co/21cw5RuVR0
but got some cheap looking one. Need exchange https://t.co/JQ4grPjhHM",RETURN_REFUND,RETURN_REFUND,1.0,RETURN_REFUND,False,,human_review_v1,True
GS_0057,166487,@AmazonHelp  Used Amazon chat to resolve what appeared to be a duplicate charge on two different credit cards for my Prime membership. Just wanted a refund or explanation.  Result? Had my Prime membership cancelled. WTH? Why?,RETURN_REFUND,PRIME_SUBSCRIPTION,0.95,PRIME_SUBSCRIPTION,True,"[human_review_v1:rule:fraud] Customer experienced an unintended account cancellation following a billing dispute, requiring human intervention to restore service.",human_review_v1,True
GS_0058,1105588,"@115821 I'm like 30 minutes into this.

And I need a return label.",RETURN_REFUND,RETURN_REFUND,1.0,RETURN_REFUND,False,,human_review_v1,True
GS_0059,530835,"@AmazonHelp We have returned product on 26th July and still haven't received money back in my account. UTR No: __credit_card__, when we contacted bank they say they didn't receive any amount. PFA. https://t.co/3emfcW5Xdn",RETURN_REFUND,RETURN_REFUND,1.0,RETURN_REFUND,True,[human_review_v1:rule:repeat_contact] PII present (credit card number/UTR),human_review_v1,True
GS_0060,857747,@AmazonHelp No it's from you. I already stated that the wrong item was shipped and a new one is coming. I'm worried about issues sending it back.,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0061,122681,"@AmazonHelp It's still in its plastic, but the disc is loose and there is rattling parts, it has been squashed or broken during transit or packing. I didn't click return on the website because it will cost me more than the original item and postage combined to return the broken DVD.",RETURN_REFUND,DELIVERY_DAMAGE,1.0,DELIVERY_DAMAGE,False,"Customer is reporting a damaged item and expressing financial concern regarding the standard return process, requiring human intervention to resolve.",human_review_v1,True
GS_0062,1563738,@115850 I've been getting 'package pickup rescheduled' messages for a package I'd returned to a deliveryperson last evening. What do I do?,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0063,2562251,"If a @727143 seam seemingly came undone on its own is that covered for warranty replacement, even if purchased through @115821? Actually, I'm not sure it was ever attached. @AmazonHelp #Maxpedition #PygmyFalconII https://t.co/96oDXV1pn9",RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0064,283973,When you buy a book from @115821 and it turns out to be a library book someone has forgotten to return #conned,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0065,2875033,"@AmazonHelp I reached out, they happily refunded me... The complete disregard for common sense was impressive though. I'd be cool if just accident, they happen. Thanks for quick reply.",RETURN_REFUND,GENERAL_COMPLAINT,0.95,GENERAL_COMPLAINT,False,,human_review_v1,True
GS_0066,1380639,"@AmazonHelp Considering I pay for Prime &amp; didn't get any item, I wasn't really pleased with the customer service I received. I should have been refunded",RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0067,841760,@AmazonHelp dere u have just mentioned u cant return my money. fuck ur policies,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,Customer is using abusive language and expressing extreme frustration regarding a refund policy.,human_review_v1,True
GS_0068,274092,@115850 Really disappointed @115850 #badcustomerservice asking me to courier the wrong items back! #pathetic,RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0069,955669,"@AmazonHelp JIAMM, that makes sense, I'll send a message via the return option! Thank you!",RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0070,967769,"@AmazonHelp No I didn’t, but this is a dif issue, wrong item sent, promised exped. ship, not showing in tracking, asked for help, like talking to robot",RETURN_REFUND,RETURN_REFUND,0.95,RETURN_REFUND,True,[human_review_v1:rule:repeat_contact] Customer expresses extreme frustration with automated support and reports multiple issues including incorrect item and tracking failure.,human_review_v1,True
GS_0071,314498,"@AmazonHelp well,if you can not transfer my amazon pay balance to my bank account , then kindly credit back my bucks in the amazon pay balance.",ACCOUNT_ACCESS,RETURN_REFUND,0.95,RETURN_REFUND,False,,human_review_v1,True
GS_0072,1048807,"@171152 
I am unable to log in Amazon or prime since a month.. cannot use any passwords or email.
Plz help",ACCOUNT_ACCESS,ACCOUNT_ACCESS,1.0,ACCOUNT_ACCESS,False,"User reports being locked out of their account for a month, indicating a complex access issue.",human_review_v1,True
GS_0073,752380,@AmazonHelp hello i just received this email its look my amzon account hacked i hope can i get my account back https://t.co/ibiaTQlrbK,ACCOUNT_ACCESS,ACCOUNT_ACCESS,1.0,ACCOUNT_ACCESS,True,[human_review_v1:rule:fraud] Potential account compromise and security concern,human_review_v1,True
GS_0074,1040104,"@115850 hey team 
I want to remove my bank. Account details from my Amazon app account 
Please tell me where do I find that delete option",ACCOUNT_ACCESS,ACCOUNT_ACCESS,0.95,ACCOUNT_ACCESS,False,Request involves sensitive financial account information and PII management.,human_review_v1,True
