message_id,thread_id,text
CAL_0001,1893540,@115821 I return my order 2weeks ago but still the return amount isn't refunded can you just see my return request plz. https://t.co/9jef4DIgBH
CAL_0002,1127107,"@AmazonHelp Hello, just wanted to remind you on Kannada support and content on @117634 and @119625. When can I buy Kannada ebooks?"
CAL_0003,522573,"@AmazonHelp Nope. Just a message on the order tracking page ""Was Expected by Friday"". ONTRAC SUCKS"
CAL_0004,191662,"@115850 @AmazonHelp : Just look at the tone taken by your executives who don't understand that if I'm buying something worth 60k, I need to be assured of the installation/demo. @115851: I still don't have an answer! https://t.co/t5HmE5p9gb"
CAL_0005,2418889,@115850 @AmazonHelp @115850 WINNERS?
CAL_0006,1199738,@AmazonHelp Got my Pintola peanut butter with cracked lid and butter oozing out..
CAL_0007,737037,"@115850 ORDER # 408-1894693-5658722, till now not delivered, being PRIME. #chorAmazon go for snapdeal or flipkart.."
CAL_0008,2288542,"@AmazonHelp Pls read again my issue. Wrong product was sent. On website, you displayed USA brand “GAP” indtead u delivered a locally made shirt from TSX in Delhi with GAP-logo missing from front.. done filling ur form"
CAL_0009,972591,Just found an @115821 parcel in my front garden... where’s the strangest “safe place” you’ve ever found a parcel? 😂 https://t.co/YGGCeC8Oyc
CAL_0010,2211738,"@AmazonHelp Thank you, Amazon CS is looking in the matter. Please note that there are 2 more late deliveries since my last reply to you. This makes a total of 5 deliveries that have not arrived. All with Amazon Delivery Service."
CAL_0011,451871,"@117086 olá. no site da amazon diz que um pedido meu chegou e está disponível para retirada, mas não consigo achar o endereço da retirada ):"
CAL_0012,2536398,Made a fateful transaction on @115850 and yet to get refund even after 10 days. @13509 closed the online complaint without doing anything.#struck #help nowhere to go
CAL_0013,1364745,- @115821 y’all got a curse out coming if my package is missing 😒
CAL_0014,1828719,@115850 Have furnished all the details . . Please resolve the issue @115850
CAL_0015,1549424,bought a new phone charger and my phone battery is so much better now. thank you to my niggaz at @117795
CAL_0016,2299554,@AmazonHelp I've clicked on my recent orders but it's blank ... How can I get a refund?
CAL_0017,2897559,"Hey @120533 ! Voici maintenant +/- 1 mois que j'ai effectué une demande de remboursement. Étonné du délai, car d'habitude très rapide, et n'ayant pas de vue sur le suivi du colis, que puis-je faire ?! :)"
CAL_0018,465099,@AmazonHelp...when is the results of #OnePlus5TAppQuiz will be announced???please let us know asap..
CAL_0019,1371414,@AmazonHelp not exactly sure what you are asking the status has it out for delivery and it has said that for two days. Must be coming by pony express
CAL_0020,2343987,@115830 I am unable to login to my account as it says I have had too many attempts __email__ please help
CAL_0021,729873,"@118919 false update, failure to deliver and also 7-8 customer care, supervisor talk,at end no delivery of this what u get at Amazon https://t.co/oir8xeJFoB"
CAL_0022,2881913,"@AmazonHelp How do I see my messages? Need to send some photos to a seller since they requested them, (defective product) but unsure if attaching them to an email would work."
CAL_0023,1608669,結局買った。Amazonさん便利すぎ アクセサリー工具 https://t.co/CMy5MvXJXZ
CAL_0024,979359,@AmazonHelp Your people gave me false information all the time. Still they don't know when my parcel will receive me.
CAL_0025,2273429,"Hello @120533 j'ai annulé une commande payée avec une carte cadeau mais impossible de récupérer l'argent de ma carte, comment faire ? Merci ;)"
CAL_0026,2790521,"@AmazonHelp I have left incorrect seller feedback &amp; cannot remove it, even though it has been &lt;60 days since purchase. Please help."
CAL_0027,144128,"@AmazonHelp Perdi a sua promoção da Brumas de Avalon :( se eu comprar, o estoque demora pra voltar? Pq o preço tá chuchu beleza ❤️"
CAL_0028,959687,@AmazonHelp Tried chatting when I couldn’t update delivery directions and was told they couldn’t help me. 🤷‍♀️
CAL_0029,757698,@AmazonHelp You all are liars. Your executive told me that order is in transit and mid night refund was initiated. UNACCEPTABLE
CAL_0030,563008,@AmazonHelp It sure is odd. I believe there was only one version available for “a Charlie Brown Christmas”
CAL_0031,418149,@AmazonHelp あ（笑） 結構前に注文したモノが4日に発送届け出されたのに未だに届いてないしメールの返事もないのですが、届かないのですか？
CAL_0032,2062378,@AmazonHelp neeed a refund on the items I purchase. Ordered on Oct 19 you said it will take 2 working days. It was delivered the 26.
CAL_0033,1604079,知らない 間にAmazonプライム会員になってたぞい
CAL_0034,871082,Alguién ha comprado ropa en @115821
CAL_0035,649668,@AmazonHelp Didn't receive this reply in notifications last night. Haven't contacted CS - waste of time as just get told the same thing. I will advise that any future orders placed into hands of Colis Prive or Chronopost for delivery will be cancelled immediately on notification of same.
CAL_0036,235701,@AmazonHelp I am still facing it.... I need the solution ......
CAL_0037,80569,@AmazonHelp https://t.co/zT0zqohrWQ
CAL_0038,894662,"@AmazonHelp Hola, sí, respecto a una compra. Intenté comunicarme por teléfono y me dijeron que ellos no solucionaban problemas de compras."
CAL_0039,236604,@AmazonHelp I spoke to one of your representatives on the call and he was of absolutely no help. Now what?
CAL_0040,1680119,"Good gracious, @115821, what sort of shipping method takes 6 weeks? Is it coming from a Tibetan monastery on a mule? https://t.co/BiXPJ4Xm9J"
CAL_0041,2663891,Can I be part of the @115830 Prime #advert 🦁?!?! #lion #AmazonPrime #amazon #liondog #lionking https://t.co/2zEQB9x3wx
CAL_0042,2338837,@115830 @AmazonHelp This is what paying for Prime membership gets me. Not knowing when I'll get a game on the day of release...
CAL_0043,426984,@AmazonHelp I just spent an hr on phone now you'd like me to type and exodus? If you'd like to discuss please DM me or phone call. Thank you.
CAL_0044,399871,@115850 @AmazonHelp @115821 order ID - 405-8485758-2685958 Amazon is trying to cheat... And kindly check chat that I had wth u ppl
CAL_0045,598982,"@AmazonHelp Yes, you’ve missed the delivery date confirmed in the email. Even at 6pm the tracking said delivery due at 8pm. And at 8pm there is a “sorry we won’t deliver today “ message"
CAL_0046,2364630,"@115821 please deliver to correct address, 😒 not a happy customer right now #LastChance #AmazonPrime"
CAL_0047,135004,@AmazonHelp My return was picked up yesterday and refund still not initiated. Why???? @115821 @115850 @AmazonHelp
CAL_0048,2277769,"@AmazonHelp Not yet. Will have to try and cancel tomorrow morning. If the account is still active. Seller is a known fraudulent account, and I wasn't aware when I placed my order. Discovered after doing research."
CAL_0049,989902,@AmazonHelp There is no respond email from Amazon. What to check? We have already sent all the details and N number of times we have informed Amazon the same. Its just things have to be set right by the appropriate engineer. I don't understand the reason for DELAY.
CAL_0050,477706,"@AmazonHelp Asked for GC refund as I no longer have access to original CC (it's not closed, I just no longer have access) and was told that was fine. Refunds were sent to CC. I'm now £290 down...(1/2)"
CAL_0051,2504965,Super whack that @117795 is charging a $5 delivery fee now on top of the $5 tip. Wtf is the point then? I’ll just walk my ass to the grocery store
CAL_0052,1249694,@AmazonHelp Yes.
CAL_0053,977261,@AmazonHelp It says should arrive between the 19th and 25th but it looks like its not even coming
CAL_0054,135018,@116928 ¡Hola! Estoy intentando añadir Tres unidades de un producto a mi cesta y no encuentro donde. ¿No es posible comprar tres de estos? https://t.co/mDmO5P4IKl ¡Gracias!
CAL_0055,1725365,@AmazonHelp Thanks again! That’s a great news !! Can I go for a patent file in this idea !? Pls advise @115821 @115850 @118919
CAL_0056,1146502,@AmazonHelp i did
CAL_0057,2669224,@115850 What Are U Doing With your customers cheaters are in your delivery team why he is facing this how of issue.. Plz Urgently return
CAL_0058,33170,Anyone know how you mirror on the new Amazon Fire TV? @116439 want to screen mirror #amazonfiretv #fireTV
CAL_0059,1744068,@AmazonHelp They email me asking to authorise a payment to unlock my account. That order was fraudulent so I email back explaining that and not authorising the payment. They don’t respond after that-what an I supposed to do?
CAL_0060,2558538,"@115851 @115850 what a pathetic service Amazon is turning out in India. Your Amazon.in Order # 404-3072127-5113917 double charged and no one is able to help. They just keep passing the buck. In the order before, they didn't collect returns and now this. Pathetic and horrible"
CAL_0061,2565539,@115821 I am missing part of my order! Can you help?
CAL_0062,1173885,@AmazonHelp That didn't help. The item follows all of those requirements. https://t.co/a7zDbXi6Cc. Could be a bug? No item-related pun intended.
CAL_0063,2294241,@AmazonHelp Everytime I reset my password - it resets the account that doesn't have prime
CAL_0064,334066,"@AmazonHelp 15th time I have filled this form, and I know the issue will not resolved. Such an useless team you have!!!!"
CAL_0065,918180,"@115830 you guys are getting worse and worse. Awful delivery service, awful returns procedure, and wont talk to me despite using my money"
CAL_0066,2762062,@115821 What is going on with Pearl Jam latest vinyl releases Riot Act &amp; Binaural?. Ordered in September. Still not shipped.
CAL_0067,404616,@AmazonHelp Ahora que ya he pagado como puedo hacer unas preguntas al comprador para que me de algún detalle mas especifico acerca de lo que he comprado
