message_id,X_G,X_H,X_E,X_S,X_B,X_total,Y_G,Y_H,Y_E,Y_S,Y_B,Y_total
GS_0246,4,3,2,5,5,19,4,4,4,5,3,20
GS_0077,4,3,2,5,5,19,4,4,4,5,5,22
GS_0093,4,4,4,5,3,20,4,3,2,5,5,19
GS_0147,4,3,2,5,5,19,4,4,4,5,3,20
GS_0091,4,3,2,5,5,19,5,4,4,5,3,21
GS_0047,4,3,2,5,5,19,4,4,4,5,3,20
GS_0195,4,3,2,5,5,19,4,4,4,5,5,22
GS_0061,4,3,2,5,5,19,4,4,4,5,3,20
GS_0207,4,4,4,5,5,22,4,3,2,5,5,19
GS_0169,4,4,4,5,3,20,4,3,2,5,5,19
GS_0245,4,3,4,5,3,19,4,3,2,5,5,19
GS_0209,4,3,2,5,5,19,3,3,3,5,5,19
GS_0229,4,3,2,5,5,19,4,4,3,5,5,21
GS_0094,4,3,2,5,5,19,4,4,4,5,3,20
GS_0233,4,3,2,5,5,19,4,4,4,5,3,20
GS_0177,4,4,4,5,5,22,4,3,2,5,5,19
GS_0160,4,4,5,5,3,21,4,3,2,5,5,19
GS_0200,4,4,4,5,5,22,4,3,2,5,5,19
GS_0133,4,3,2,5,5,19,3,3,3,5,5,19
GS_0205,4,4,4,5,5,22,4,3,2,5,5,19
GS_0234,4,4,4,5,5,22,4,3,2,5,5,19
GS_0123,4,3,2,5,5,19,4,4,4,5,3,20
GS_0189,4,4,4,5,3,20,4,3,2,5,5,19
GS_0029,4,3,2,5,5,19,4,4,4,5,3,20
GS_0017,4,4,4,5,3,20,4,3,2,5,5,19
GS_0239,4,3,2,5,5,19,4,4,4,5,3,20
GS_0238,4,3,2,5,5,19,4,4,4,5,3,20
GS_0033,4,3,2,5,5,19,4,4,4,5,5,22
GS_0235,4,4,4,5,5,22,4,3,2,5,5,19
GS_0142,4,3,2,5,5,19,4,4,4,5,5,22
