message_id,thread_id,text
GS_T001,2752084,@AmazonHelp Umm. I just migrated my devices to India and lost the smart home skills. Here is what I see when I try to add any skill: https://t.co/2k4da4v6PH
GS_T002,1166784,"Hey @115833 peeps! If I buy an echo show when they come out, will I be able to use it at both my UK and Slovakia homes? #REALLYwantone!"
GS_T003,1453782,Stupid reason for not delivery the parcel @115850 . Delivery agent no provided by u is a wrong number. Happening since last two days. https://t.co/3KC8FktWmA
GS_T004,348501,@AmazonHelp Blue dart is delivering it if that's what you're asking
GS_T005,803022,"@115821 isn't exactly sure what happened to the book I ordered about feeling left out. While I'm upset, there is a certain poetry about it."
GS_T006,934342,"@AmazonHelp Thanks for the update. I understand, Amazon tries their best to reach perfection. Just a suggestion for improvement. 😊😊"
GS_T007,1604984,@115850 One fladuent activity happen in my card from amazon at name of prime membership with transaction of 6850 rs
GS_T008,2767571,"@AmazonHelp Appears to work just fine on the computer, but not on my phone."
GS_T009,2500712,@AmazonHelp The issue I’m having is with smart home devices
GS_T010,2025534,@AmazonHelp Ich habe ein 7” Kindle Fire bestellt. Ich habe statt 2 Französische Bucher bekommen. Kundendienst sagte es dauert 3 Wochen für das Kindle.
GS_T011,450693,"@AmazonHelp The issue is always when it's the Amazon delivery service (AMZL US). A helpful note would be for them to know that this is a commercial address so they can deliver during normal business hours. It arrived at the facility at 2am today, but still isn't out for delivery"
GS_T012,510408,.@AmazonHelp i tried to buy three 4K movies for 50 dollars and the cart never updates to show the reduced price. Help!
GS_T013,2706505,"Hey @115821, why does my Echo tap lose bluetooth about every 3 minutes?"
GS_T014,2703151,"@AmazonHelp On my phone, with the Amazon app installed, but not for much longer if these keep popping up."
GS_T015,2644979,@115850 Seriously disappointed in Prime service for prime eligible orders. Trust is going down on you amazon.😐
GS_T016,2903574,"@115830 You seriously need to rethink using Hermes to send big expensive items - they left my 43"" TV OUTSIDE in a cupboard which ended up with it getting smashed. #NotAHappyCustomer https://t.co/RxluLe84Vs"
GS_T017,83424,"@115823 @38806 @106286 @106287 @106288 @106289 @134327 Please dont trapped in this Amazon pay service. It has very poor customer support my money stuck up in the same counter since last 1 month, query not resolved by the customer team. #beware from #Amazonpay #amazon india"
GS_T018,83451,E a @117086 nada de me enviar logo meu case do kindle :(
GS_T019,778919,@115850 who is winner if iphone 8 app quiz
GS_T020,1387061,@AmazonHelp I placed an order on Saturday that should be delivered today but the status is showing as preparing to dispatch. How accurate are your tracking details?
GS_T021,126753,@AmazonHelp ur #WatchNextList on @116618 is broken BIG TIME today in FACT ur app on @117013 #BluRayPlayer is SO FOULED UP I’m done trying to watch something w/u until u FIX it&amp;it’s helloooo @116602 bc I’d actually LIKE to watch something besides AMAZON resetting to HOME MENU
GS_T022,2336971,"@AmazonHelp help please! Newest Fire stick update = the picture doesn't fit on the screen anymore, calibrating doesn't work #firestick"
GS_T023,11084,"@AmazonHelp So much of the programming has changed on Prime. Blues Clues was free, now it's not. Still constantly having problems with my Fire Stick."
GS_T024,2949508,"@AmazonHelp All the Amazon sponsored ones for the Holidays 2017. Ones by other giveaways are fine apparently on the phone. I tried uninstalling/reinstalling - so far nothing yet. Still not showing any progress on the ""tasks"""
GS_T025,1311835,"I see everyone playing the new Super Mario Odyssey game, meanwhile, I'm still waiting for a single update on my Amazon order for the game. 👀"
GS_T026,2345595,@AmazonHelp On any #Motorola Phone it's is not applicable.
GS_T027,1108727,@115825 Warum gibt es bei euch so wenige uhd filme zu streamen? Nehmt euch mal ein beispiel an apple
GS_T028,2856566,Thanks @115830 for the mat in my box of packaging. Was this seriously the most appropriate way to deliver this? Although I do get to spend the rest of the week thinking of 1001 uses for packaging paper - and I could probably do most of them with this much #reducepackagingwaste https://t.co/vivEIdyOEA
GS_T029,932223,Has anyone used their Amazon fire stick abroad? #amazon @116618
GS_T030,279502,"Hello @116935, bought a CD from you the other day (yeah, optical media, I know...) - should it not automatically appear in my app too?"
GS_T031,2289359,@121284 Why does Alexa not detect regional language songs? Not able to make full use of it.
GS_T032,910262,@AmazonHelp why am I paying for an early delivery on wwe2k18 and not getting it on the day promised or an explanation to why? Very unhappy
GS_T033,1034753,"Die @116316 App zeigt mir neuerdings immer ""Bestellung zugestellt"" an, wenn diese erst versendet wird. Etwas verwirrend"
