message_id,true_intent,text,pred_intent,rag_reply,norag_reply,rag_total,norag_total
GS_0018,ACCOUNT_ACCESS,"@115850 order :407-5264538-1697154
i haven't ordered anything this year,
But u canceled my order as i crossed d limit, what d hell is dis?",ORDER_STATUS,"I am very sorry to hear about this confusion regarding your account and the unexpected cancellation. Please do not share your order details here as this is a public space. To look into this for you, please send us a DM so we can investigate further. ^AM",I am very sorry for the confusion and frustration this has caused you. We certainly want to look into why you received this notification if no order was placed. Please send us a DM with your account email address so we can investigate this for you right away.,25.0,17.0
GS_0186,RETURN_REFUND,"@115850 Got my order of Sony zx110a. The product has defective ear pads. Disappointed. When asked for a replacement,",RETURN_REFUND,I am very sorry to hear that your Sony headphones arrived with defective ear pads. I understand how disappointing this is. Please send us a DM with your order details so we can look into the replacement options available for you. ^AB,I am very sorry to hear your Sony headphones arrived with defective ear pads. I understand how disappointing this is. We would like to look into your replacement options right away. Please send us a DM so we can assist you further with this issue.,25.0,25.0
GS_0154,DELIVERY_DAMAGE,@AmazonHelp I have but I do not believe them when they say the bag was damaged on delivery to me. They package was well wrapped and this is the mark https://t.co/YtXPrH4KBv,DELIVERY_DAMAGE,"I am very sorry to hear that your item arrived in this condition, especially when the packaging appeared intact. We would like to look into this further for you. Please send us a DM with your order details so we can investigate this right away. ^AM",I am very sorry to hear your item arrived damaged and that you've had a frustrating experience with our support team. We want to make this right for you. Please send us a DM with your order number so we can investigate this further and look into your options.,25.0,25.0
GS_0169,DELIVERY_DAMAGE,"@115850 dear amazon been your trusted customer since long.this time u had sent me damaged product.please do replace asap.Order Id: 405-0084914-5840338 
Now I had to think twice to order in amazon!! Thank you https://t.co/FdNj9aGsQu",DELIVERY_DAMAGE,I am very sorry to hear your order arrived damaged; I understand how disappointing this is. We would like to look into this for you right away. Please send us a DM with your order number so we can review the available replacement options. ^AM,"I am truly sorry to hear your order arrived damaged. I understand how disappointing this is, especially as a loyal customer. We want to make this right for you. Please send us a DM with your order details so we can look into a replacement or resolution immediately.",25.0,23.0
GS_0036,RETURN_REFUND,"@AmazonHelp I am returning an order and have my proof from the post office, but not had a confirmation from you yet. Posted it Saturday. Thanks",RETURN_REFUND,I’m sorry for the concern regarding your return status. It can take a few business days for our warehouse to process incoming packages after they are dropped off. Please send us a DM with your order number so we can look into this for you. ^AM,I’m sorry for the concern regarding your return status. It can take a few business days for the carrier to scan the package into our system once it’s dropped off. Please send us a DM with your order number so we can look into the current status for you.,25.0,25.0
GS_0079,DEVICE_TECH_SUPPORT,"@AmazonHelp Hi, the Cloud Cams are working great. How do I go about sharing access to my wife's phone as well?",DEVICE_TECH_SUPPORT,"I'm glad to hear you're enjoying your Cloud Cams! To help you share access with your wife, please send us a DM so we can look into your specific device settings and guide you through the process. ^AM","I'm glad to hear your Cloud Cams are working well! I understand you'd like to share access with your wife. To get this set up, please send us a DM with your account email address so we can look into the specific steps for your device model.",24.0,23.0
GS_0160,GENERAL_COMPLAINT,@AmazonHelp No. I don't want generic customer service. The @115817 system is broken. My daughter had nothing to open from us on our birthday. Heartbreaking,GENERAL_COMPLAINT,I am truly sorry to hear about your daughter’s birthday; I can only imagine how heartbreaking that was for you both. We want to make this right. Please send us a DM with your order details so we can investigate what happened and assist you further. ^AK,I am truly sorry to hear about your daughter’s birthday; I can only imagine how disappointing that was for both of you. We want to look into what went wrong with your order. Please send us a DM with your order details so we can investigate this for you immediately.,24.0,25.0
GS_0145,DEVICE_TECH_SUPPORT,"@AmazonHelp Hi, he's i reboot and she works fine for an few hours. I'll Dona reset tonight, see if that works. Have read the help pages.   Not much there on this specific problem. I have three dots, they have been working fine for yonks",DEVICE_TECH_SUPPORT,I'm sorry to hear your Echo devices are acting up after serving you well for so long. It’s frustrating when a reboot is only a temporary fix. Please send us a DM with your account details so we can investigate this further and assist with deeper troubleshooting. ^AM,"I’m sorry to hear your Echo Dots are acting up after working well for so long. It’s frustrating when a simple reboot is only a temporary fix. Please let us know if the reset helps. If the issue persists, send us a DM so we can look into this further for you.",21.0,24.0
GS_0043,RETURN_REFUND,@115850 i just cancelled an order that was paid through amazon pay. How long would it take to receive the refund?,RETURN_REFUND,"I’m sorry for the frustration regarding your refund timeline. Once a cancellation is processed, refunds to Amazon Pay typically take 3-5 business days to reflect in your account. To look into your specific order, please send us a DM with your order details. ^AM","I’m sorry for the frustration regarding your refund timeline. Once a cancellation is processed, Amazon Pay refunds typically take 3-5 business days to appear, depending on your bank. Please send us a DM with your order number so we can check the status for you.",25.0,23.0
GS_0110,PRIME_SUBSCRIPTION,"@AmazonHelp I’ve been randomly charged $4.99 for 7 months this year (jan,feb,mar,apr,may,oct,nov) why??? no history on my acct either",PRIME_SUBSCRIPTION,I am very sorry to hear about these unexpected charges; I understand how frustrating that is. We would like to look into this for you to see what is happening. Please send us a DM so we can securely review your account details and investigate this further. ^AK,"I am very sorry to hear about these unexpected charges; I understand how concerning this is. Since you don't see these in your account history, we need to investigate this further to identify the source. Please send us a DM so we can look into this for you right away.",25.0,24.0
GS_0120,PRIME_SUBSCRIPTION,@AmazonHelp Please elaborate. If the charges are of prime subscription on https://t.co/PDFhxlk2Fc then why was i charged 499 in the first place??,PRIME_SUBSCRIPTION,I am sorry for the confusion regarding this charge. I understand how frustrating unexpected fees can be. We would like to look into your account to clarify why this occurred. Please send us a DM so we can investigate this further for you. ^AM,"I’m sorry for the confusion regarding your Prime charges. I understand how frustrating unexpected fees can be. To look into this and clarify the billing for you, please send us a DM with your account details so we can investigate this further.",24.0,24.0
GS_0016,ORDER_STATUS,@AmazonHelp Are you guys able to DM so I can screenshot my item and address plus tracking #,ORDER_STATUS,I’m sorry to hear you’re having trouble with your order status. Please send us a DM so we can look into this for you and provide further assistance. ^AM,I’m sorry for the frustration regarding your order status. I would be happy to look into this for you. Please send us a DM with your order details so we can investigate this further and provide an update.,17.0,15.0
GS_0165,DELIVERY_DAMAGE,"@115821 can’t believe you shipped Nest Cams in their original box, slapped on a sticker. The box is very damaged. Hope the cams aren’t. https://t.co/tQlkUUoxzj",DELIVERY_DAMAGE,I am very sorry to hear your Nest Cams arrived in a damaged box. I understand how frustrating it is to receive an item in that condition. Please send us a DM with your order details so we can look into this and assist you further. ^AM,I am very sorry to hear your Nest Cams arrived in such poor condition. I understand how frustrating it is to receive a damaged package. Please send us a DM with your order details so we can look into this and assist you with a resolution.,25.0,24.0
GS_0132,DEVICE_TECH_SUPPORT,"@AmazonHelp Why will my Amazon Echo not say ""Alex is a nerd"" but will say ""Alex is a bitch""?",DEVICE_TECH_SUPPORT,"I’m sorry for the frustration this has caused. Our devices have safety guidelines regarding the language they process and repeat. We’d like to look into this further with you, so please send us a DM so we can assist you privately. ^AB",I’m sorry to hear you’re having trouble with your Echo’s responses. We want our devices to be helpful and appropriate for all users. Please send us a DM so we can look into your device settings and report this behavior to our technical team for further review.,23.0,24.0
GS_0101,GENERAL_COMPLAINT,@AmazonHelp Ça va changer quoi ? Ça ne sert jamais à rien... À quoi me sert d'être prime dans ces conditions ??,GENERAL_COMPLAINT,"Bonjour, je comprends tout à fait votre frustration et je suis navré de lire votre déception concernant votre expérience Prime. Afin que nous puissions examiner cela ensemble et trouver une solution, pourriez-vous nous envoyer un DM ? ^SB",Je comprends parfaitement votre frustration et je suis navré que votre expérience ne soit pas à la hauteur de vos attentes. Nous souhaitons examiner cela de plus près avec vous. Pourriez-vous nous envoyer un DM afin que nous puissions faire le point sur votre situation ?,25.0,24.0
GS_0129,ACCOUNT_ACCESS,"@115850 hey team 
I want to remove my bank. Account details from my Amazon app account 
Please tell me where do I find that delete option",ACCOUNT_ACCESS,"I understand you'd like to remove your bank details from your account for peace of mind. You can manage your payment methods by going to ""Your Account"" and selecting ""Your Payments."" If you need further assistance, please send us a DM so we can help you directly. ^AB","I’m sorry for the frustration in trying to locate those settings. To manage your payment methods, please go to ""Your Account"" and select ""Your Payments."" If you need further assistance with your account, please send us a DM so we can look into this for you.",23.0,23.0
GS_0156,DELIVERY_DAMAGE,@AmazonHelp Should I open the parcel and inspect the item first? Maybe only the parcel is damaged?,DELIVERY_DAMAGE,"I am very sorry to hear your parcel arrived in this condition. It is a good idea to inspect the item to see if it is intact. If you find any damage, please send us a DM with your order details so we can look into this and assist you further. ^AM","I’m sorry to hear your parcel arrived in this condition. It is a good idea to carefully inspect the item to see if it is intact. If you find any damage to the product, please send us a DM with your order number so we can look into this and assist you further.",25.0,25.0
GS_0141,GENERAL_COMPLAINT,@AmazonHelp I called the helpline 1800 3000 9009 it is not getting connected,GENERAL_COMPLAINT,I am very sorry to hear you are having trouble reaching our support team by phone. We would like to look into this for you right away. Please send us a DM with your account details so we can assist you further. ^AK,I am very sorry to hear you are having trouble reaching our phone support. I understand how frustrating it is when you cannot get the help you need. Please send us a DM with your account details so we can look into this and assist you further.,24.0,24.0
GS_0057,PRIME_SUBSCRIPTION,@AmazonHelp  Used Amazon chat to resolve what appeared to be a duplicate charge on two different credit cards for my Prime membership. Just wanted a refund or explanation.  Result? Had my Prime membership cancelled. WTH? Why?,PRIME_SUBSCRIPTION,I am very sorry to hear about this frustrating experience with your membership. This is certainly not the outcome we intended. Please send us a DM so we can look into your account details and investigate what happened with those charges and the cancellation. ^AB,I am very sorry to hear that your membership was cancelled when you were seeking help with a billing concern. That is certainly not the experience we want for you. Please send us a DM so we can look into your account and work to get this resolved for you.,25.0,25.0
GS_0151,ORDER_STATUS,"Waiting for my @115830 delivery.  I hope he doesn't deliver it to the wrong address.  If he/she is unsure, I'd rather they call my mobile (which is on your system).",ORDER_STATUS,I understand your concern about ensuring your package reaches you safely. We want to make sure your delivery goes smoothly. Please send us a DM with your order number so we can look into this and add a note for the driver regarding your contact details. ^AM,I’m sorry to hear you’re worried about your delivery. I understand how important it is to ensure your package arrives at the correct location. Please send us a DM with your order number so we can look into this and add a note for the driver to contact you if needed.,25.0,23.0
GS_0024,ORDER_STATUS,@115821 paid for same day delivery and it’s still not here. 🤬🤬🤬 https://t.co/WTdpHNxLXY,ORDER_STATUS,I am very sorry to hear your order hasn't arrived as expected today. I understand how frustrating this delay is. Please send us a DM with your order number so we can look into the status of your delivery and assist you further. ^AM,I am very sorry to hear your order hasn't arrived as expected today. I understand how frustrating this delay is. Please send us a DM with your order number so we can look into the status of your delivery and assist you further.,25.0,23.0
GS_0138,DEVICE_TECH_SUPPORT,"@115821 
My kindle touch is defective. I'm wiping the silk to a single page. But it appears on every page. Please send another one",DEVICE_TECH_SUPPORT,I am very sorry to hear about the trouble you're having with your Kindle screen. I understand how frustrating it is when your device isn't working as expected. Please send us a DM so we can look into your device details and explore the best way to assist you. ^AM,I am very sorry to hear about the trouble you're having with your Kindle screen; I know how frustrating that must be when you're trying to read. Please send us a DM so we can look into your device's warranty status and explore the best options to assist you further.,24.0,22.0
GS_0121,DEVICE_TECH_SUPPORT,@119625 fire stick network issues frequent even with good connectivity and net speed. Please fix it,DEVICE_TECH_SUPPORT,I'm sorry to hear you're experiencing frequent connection issues with your Fire Stick. I know how frustrating that is when your internet speed is otherwise fine. Please send us a DM so we can look into this and provide further technical assistance. ^AM,I’m sorry to hear you’re having trouble with your Fire Stick connectivity; I know how frustrating that is when you're trying to watch your favorite shows. Please send us a DM so we can look into this and walk you through some troubleshooting steps together.,25.0,25.0
GS_0003,ORDER_STATUS,@115850  unsatisfied Eid  amazon. Too much bad 405-8158996-7018755.order still not recieve too much fake commitment from representative,ORDER_STATUS,"I am truly sorry to hear about the frustration this delay has caused, especially during Eid. We want to look into this for you right away. Please send us a DM with your order number so we can investigate the status and assist you further. ^AM",I am truly sorry for the frustration and the delay you’ve experienced with your order. This is certainly not the experience we want for you during Eid. Please send us a DM with your order number so we can look into this immediately and provide an update.,25.0,25.0
GS_0092,ACCOUNT_ACCESS,"@115821 I can't log in to my affiliate account. I get a error message, since 12 hours ago.",ACCOUNT_ACCESS,I am very sorry to hear you've been unable to access your affiliate account for the last 12 hours. I understand how frustrating that is. Please send us a DM so we can look into this further and assist you with the login error. ^AS,I am sorry to hear you have been unable to access your affiliate account for the past 12 hours. I understand how frustrating this is. Please send us a DM with your account email address so we can look into this and assist you further.,25.0,24.0
GS_0162,DELIVERY_DAMAGE,"Hey @115821, you’re shipping my order to the wrong address. Not sure if someone will be there when you try to deliver (again). How do we fix this?",DELIVERY_DAMAGE,I am very sorry to hear about the trouble with your delivery address and the concern regarding your package. We want to make sure this is corrected for you. Please send us a DM with your order number so we can look into this and assist you further. ^AM,I am very sorry to hear about the trouble with your delivery address. I understand how frustrating it is to worry about your package arriving at the wrong location. Please send us a DM with your order number so we can look into this and assist you further.,25.0,25.0
GS_0087,GENERAL_COMPLAINT,@AmazonHelp one more thing please provide 'Amazon pay balance' transfer  to Bank account so we could add more balance without any hesitation. Thanks 😇,GENERAL_COMPLAINT,"I understand your feedback regarding the transfer of Amazon Pay balance to a bank account. We are always looking to improve our services, and I have shared your suggestion with our internal team for review. Thank you for reaching out to us. ^SY",We understand that having more flexibility with your Amazon Pay balance would be helpful. We’re always working to improve our services based on customer feedback. Please send us a DM so we can document your request and share it with our internal team.,22.0,24.0
GS_0040,RETURN_REFUND,@115821 @8623 @115850 I have filed the details but I already contacted tech support they strictly denied. Pls make replacement or refund my money,RETURN_REFUND,I am truly sorry to hear about the frustration you've experienced with your recent request. We want to look into this further to see how we can help. Please send us a DM with your order details so we can escalate this to our leadership team for a closer review. ^AM,I am very sorry to hear about the frustration you've experienced with your recent request. I would like to look into this further to see how we can help. Please send us a DM with your order details so we can review your account and explore available options for you.,24.0,22.0
GS_0059,RETURN_REFUND,"@AmazonHelp We have returned product on 26th July and still haven't received money back in my account. UTR No: __credit_card__, when we contacted bank they say they didn't receive any amount. PFA. https://t.co/3emfcW5Xdn",RETURN_REFUND,"I am truly sorry for the delay in receiving your refund and understand how frustrating this is. Please do not share any personal or financial details here. To help us look into this for you, please send us a DM with your order ID so we can investigate further. ^AB",I’m very sorry to hear you haven’t received your refund yet; I understand how frustrating this wait can be. Please send us a DM with your order number so we can look into the status of your return and assist you further.,25.0,22.0
GS_0086,ACCOUNT_ACCESS,@AmazonHelp Password is in correct,ACCOUNT_ACCESS,I am sorry to hear you are having trouble accessing your account; I know how frustrating that can be. Please send us a DM so we can look into this for you and provide further assistance with your login. ^AM,I am sorry to hear you are having trouble accessing your account. I know how frustrating it is to be locked out. Please send us a DM so we can look into this and guide you through the steps to regain access to your account.,24.0,22.0
GS_0117,ORDER_STATUS,@AmazonHelp you say next day delivery now I find it’s Monday !!amazon prime ??,ORDER_STATUS,I’m sorry for the frustration regarding your delivery date. I understand how disappointing it is when an order doesn't arrive as expected. Please send us a DM with your order number so we can look into this for you and see what’s happening. ^AL,I’m very sorry for the frustration caused by this delay in your delivery. I understand how disappointing it is when a Prime order doesn't arrive as expected. Please send us a DM with your order number so we can look into this and assist you further.,24.0,24.0
GS_0166,RETURN_REFUND,@AmazonHelp Thank you. Do you still want an item returned if it’s broken glass?,RETURN_REFUND,I am very sorry to hear your item arrived broken. Please do not attempt to handle broken glass. We would like to look into this for you right away. Please send us a DM with your order details so we can assist you further. ^AM,"I am so sorry to hear your item arrived broken; that is certainly frustrating. Please do not attempt to handle the glass. So we can look into this and assist you with a refund or replacement, please send us a DM with your order number. We are here to help.",25.0,23.0
GS_0115,PRIME_SUBSCRIPTION,"@AmazonHelp Wait, what? So you take my £79 a year membership fee in return for free delivery and then start charging. 😱 Poor show Amazon! How do I get my Prime membership fee refunded? I only used Prime for Prime Now.",PRIME_SUBSCRIPTION,I’m very sorry to hear about your frustration regarding the Prime charge. I understand how concerning unexpected fees can be. Please send us a DM so we can look into your account details and discuss your options regarding the membership and a potential refund. ^AH,I’m truly sorry to hear about your frustration regarding these charges. I understand how disappointing this is. We’d like to look into your membership status and refund options for you. Please send us a DM with your account email address so we can assist you further.,25.0,23.0
GS_0084,GENERAL_COMPLAINT,@AmazonHelp The order that you cancelled was a gift that now will not make it. Stop focusing on the account. Start focusing on the customer,GENERAL_COMPLAINT,"I am truly sorry for the frustration this cancellation has caused, especially regarding such an important gift. We want to make this right. Please send us a DM with your order details so we can look into this for you immediately. ^AM","I am truly sorry for the frustration this cancellation has caused, especially since it was a gift. We understand how important this was. Please send us a DM so we can look into what happened and see how we can best assist you further.",25.0,25.0
GS_0058,RETURN_REFUND,"@115821 I'm like 30 minutes into this.

And I need a return label.",RETURN_REFUND,I am very sorry for the frustration and the time you have spent trying to resolve this. I would like to help you get that return label sorted out right away. Please send us a DM with your order number so I can investigate this for you. ^AM,I am very sorry for the frustration and the time you’ve spent trying to get this sorted. I would be happy to help you get that return label generated. Please send us a DM with your order number so we can look into this for you right away.,24.0,24.0
GS_0028,PRIME_SUBSCRIPTION,"@115830 why is every Prime item saying delivery for Wednesday? I pay a lot of money for Prime for next day delivery, not 3 day delivery! How will I be compensated for this?",PRIME_SUBSCRIPTION,I am very sorry for the frustration regarding your delivery times. We want to look into this for you to see what is happening with your recent orders. Please send us a DM with your account details so we can investigate this further. ^AM,I’m sorry to hear about the frustration with your delivery times. I understand how important fast shipping is when you're a Prime member. Please send us a DM so we can look into your account and see what’s happening with these orders. We’re here to help.,23.0,24.0
