message_id,thread_id,text,escalate_yn,escalate_rule,labelled_by,human_verified
C2_0001,227389,@AmazonHelp I called Amazon cust support. Call was done to leave a feedback that Amazon should not deal with such brands. Wasn't happy with ur team,True,5,human_cal2_session_v1,True
C2_0002,2723343,@AmazonHelp Muito! 😍,False,,human_cal2_session_v1,True
C2_0003,683089,Hi @115830 - emailed twice about a missing parcel and no response. Never showed up and I have to wait over ten days for a replacement which should have arrived on 18th Nov.,True,5,human_cal2_session_v1,True
C2_0004,2795347,"Hey @115821, really digging the empty package you sent 😐",False,,human_cal2_session_v1,True
C2_0005,2976528,"shipping label, doesn't exist, yet updates his log as ""delivered""! We got no knock or note on the door! If this is how @115817 treats customers, and if @115821 choose to use then to deliver packages, both my husband and I are out! Oh...and my husband is a Prime member.... /2",False,,human_cal2_session_v1,True
C2_0006,2470977,@AmazonHelp @706747 アマゾン△！きめ細かい！,False,,human_cal2_session_v1,True
C2_0007,454554,@AmazonHelp We’ll see if anyone bothers to contact me.,False,,human_cal2_session_v1,True
C2_0008,847947,@115830 And the email says you can cancel it but when you try it says you can't cancel it. Come on @115830 so it out,False,,human_cal2_session_v1,True
C2_0009,2753585,@AmazonHelp help,True,7,human_cal2_session_v1,True
C2_0010,739729,@115830 how is it possible to have 2 prime accounts on the same email and charge me twice and cust service cant help. Ripping me off!,True,2,human_cal2_session_v1,True
C2_0011,237734,@AmazonHelp I think this 4 days back mail you are talking of?? Already replied boss https://t.co/rgMlXQUGSi,True,5,human_cal2_session_v1,True
C2_0012,760411,@AmazonHelp I received an email from Customer Service saying they’ll definitely arrive today but they haven’t,False,,human_cal2_session_v1,True
C2_0013,2746066,@AmazonHelp @UPSHelp had a problem with 2 deliveries. #UPS finally contacted me. Looks like it will get resolved tomorrow. Now #Amazon is blowing me off and not calling me to discuss how they can make it right for me. What is it with these 2 companies?,False,,human_cal2_session_v1,True
C2_0014,969247,銀座のAmazon Bar行ってみたいな,False,,human_cal2_session_v1,True
C2_0015,134867,#Amazonsuffers @115821 Almost 2 weeks chasing you all just for a simple replacement. Seems either people out there are dumb or really no one cares wht customer is facing. Wakeup &amp; imagine life without fresh drinking water for 2 weeks. Wht a shame. Hope someone responds. Phew!!! https://t.co/NnEKKNXHj2,True,5,human_cal2_session_v1,True
C2_0016,619302,@AmazonHelp @115850 @AmazonHelp I provided all the details yesterday and i was assured by customer care that package would definitely be delivered by today still no update? Are these complaints being taken seriously?,True,5,human_cal2_session_v1,True
C2_0017,593426,@AmazonHelp se traba a la hora de proceder al pago.,False,,human_cal2_session_v1,True
C2_0018,141964,@AmazonHelp Does it? It says on your website that the dimmer isn't compatible with the bayonet version???,False,,human_cal2_session_v1,True
