message_id,thread_id,text,escalate_yn,escalate_rule,labelled_by,human_verified
HB_0001,382735,@AmazonHelp Hi still nothing from @115850 . Why are you being #paapkidukaan?☹️,False,,human_cal_session_v1,True
HB_0002,526557,@AmazonHelp Je reçois tout en retard alors que je suis abonnée prime!,False,,human_cal_session_v1,True
HB_0003,2317071,Amazon just charged me $51 for their amazon prime but then when I cancelled it they talking about they’ll refund me $47 😑,False,,human_cal_session_v1,True
HB_0004,39558,"I got my refund from @115821 for my copy of odyssey, but was hit with a restocking fee because their delivery people can't do their job.",False,,human_cal_session_v1,True
HB_0005,206177,@AmazonHelp They told me that they contacted the carrier that day and that I would positively receive my package Saturday. I did not.,True,5,human_cal_session_v1,True
HB_0006,898311,@AmazonHelp oct 18th. then delayed to oct 20th. still no package. and i needed it yesterday.,False,,human_cal_session_v1,True
HB_0007,2825675,"@AmazonHelp Everything you look to order, express delivery is for Weds or Thurs",False,,human_cal_session_v1,True
HB_0008,1702172,Hey @115821... I'm really sick and tired of my Amazon Prime 2-day packages arriving on day 3 because of the damn @118706. This is bullshit!,False,,human_cal_session_v1,True
HB_0009,2569393,I ordered something from amazon yesterday I'm waiting for my 3 items to be shipped,False,,human_cal_session_v1,True
HB_0010,363684,"@119356 @AmazonHelp Did not resolve the bug in checkout proces wasted my time, dont want to refund my money and dont want to deliver product as well https://t.co/20FRBpjPwL",False,,human_cal_session_v1,True
HB_0011,1319914,"@AmazonHelp Avec lien et numéro de colis, ce serait plus simple",False,,human_cal_session_v1,True
HB_0012,870054,@AmazonHelp I have cancelled the order. No delivery attempt was made. I will happily DM the order reference etc to you.,False,,human_cal_session_v1,True
HB_0013,682562,@AmazonHelp Its out for delivery since last 3 days. None of your courier gis called me https://t.co/O5uMejjs4y,False,,human_cal_session_v1,True
HB_0014,236177,@AmazonHelp I have received it.... which address should i reply the details to?,False,,human_cal_session_v1,True
HB_0015,2313998,"@AmazonHelp package still not delivered with amzl, 3rd day now, I pay prime 😑",False,,human_cal_session_v1,True
HB_0016,1879064,Hey @115850 i have a problem facing issues in cancellation of prodyct,False,,human_cal_session_v1,True
HB_0017,145871,Thank you @115821 for refunding a little persons compulsive 1-click finger,False,,human_cal_session_v1,True
HB_0018,139017,"@AmazonHelp Si cette date m'avait été indiquée lors de la commande, je ne l'aurais pas validée et serais allé les chercher à la FNAC demain. C'est d'ailleurs ce que je vais faire, je vais annuler et aller à la FNAC.",False,,human_cal_session_v1,True
HB_0019,2841852,@AmazonHelp never received any mail. Check all the details from your side. mail and phone,False,,human_cal_session_v1,True
HB_0020,912859,@119356 prime subcription is a joke with amazon. Waiting for jeff to deliver my delayed Diwali gift! Waiting since 4d,False,,human_cal_session_v1,True
HB_0021,1831688,@AmazonHelp The options you mention don't appear in the menu. I just want the seller to refund my money. I don't want the product anymore.,False,,human_cal_session_v1,True
HB_0022,2283979,@115850 @115821 @AmazonHelp ORDER # 403-0674563-5641150 Ordered on 9th Nov NextDayDelivery This order is Cancelled Do not to Subscribe #AmazonPrime wastage of money @118702 Experience #SameDayDelivery Awesome @118702 @4030 focus on service not on #Sales @15828,True,4,human_cal_session_v1,True
HB_0023,275129,@115821 Please help! Someone hacked my account and I can’t contact you on your website as they changed the email and I cannot log in!,True,2,human_cal_session_v1,True
HB_0024,64062,@AmazonHelp They told me to wait 5 business days to investigate and another 5 days for the refund..what a joke..wasted so much of my time and energy...atleast i should get some compensation,True,5,human_cal_session_v1,True
HB_0025,2899676,@AmazonHelp I was provided that I’ll get refunded for norton because when I downloaded it didn’t connect to the server,False,,human_cal_session_v1,True
HB_0026,74571,"Liebes @AmazonHelp, es wäre schön, wenn ihr unter ""Meine Geräte"" die angemeldeten Geräte beim Namen nennen könntet, anstatt nur durchzunummerieren oder doppelt aufzuführen. Habe 11 Geräte angemeldet und weiß nun nicht, welche Nummer welches Gerät ist. #Amazon https://t.co/koWUSjbKqD",False,,human_cal_session_v1,True
HB_0027,422700,@115821 You guys confuse me so much. Just sent a courier out to collect a parcel that I had already sent back to you. Waiting on a refund.,False,,human_cal_session_v1,True
HB_0028,24979,"@AmazonHelp receiving same mails 4m u no resolution yet. I CANNOT trust a company that gives me unboxed product, I will NOT opt for replacement...",True,5,human_cal_session_v1,True
HB_0029,1364677,@AmazonHelp @115821 Pcq je fais des études d'informatique et faire un stage chez @115821 ça me tenterai bien ;),False,,human_cal_session_v1,True
HB_0030,465839,"@AmazonHelp All 3 items are in stocks so I created a new order that is guaranteed to be delivered today. This morning I received a text that said the order shipped, however, when I look in the Amazon Android application, it doesn't show that it shipped.",False,,human_cal_session_v1,True
HB_0031,2885681,"@AmazonHelp Hello Team, I have already provided sufficient information multiple times but still no help from your end. My amazon seller account is blocked for two weeks ans i have given all the required justification but no help from the team. My Rs. 120000 is stuck and cant sell on amazon.",True,5,human_cal_session_v1,True
HB_0032,2750363,"@AmazonHelp The first was Lasership which was a Tuesday, not Sunday. But I was already refunded for that one. The second one I purchased with that refund credit and was the Sunday delivery through USPS.",False,,human_cal_session_v1,True
HB_0033,2805093,@115821 just got 4th expected delivery date on a package expected 3 weeks ago? Not really happy with how this deal is panning out! Thought Shakopee plant would expedite Minnesota services!,False,,human_cal_session_v1,True
HB_0034,190359,@AmazonHelp Sir what happened ... Still now no action @115850,False,,human_cal_session_v1,True
HB_0035,1763139,@AmazonHelp I don’t want to sit on a phone that’s why i chose this to send pics. Just refund the wax and fabric softener. I gave you the order # already,True,5,human_cal_session_v1,True
HB_0036,348665,@AmazonHelp WHERE IS MY PAID PRODUCT FOR ORDER NO #406-3971997-7415546 CT -09101222439 LAST WAS 6 SEPT NO DETAILS IN MY ACC NO TRACKING DETAILS,True,4,human_cal_session_v1,True
HB_0037,2547030,@AmazonHelp I want that item and had specifically asked for the item to be resent and now I am told I have to order the item again and the refund is being processed and will take 2-4 days. I don't even have a number to call and complain.,False,,human_cal_session_v1,True
HB_0038,2730294,"Alguém está com problemas também para acessar o site da @117086 ? Poxa, acho que o site caiu por conta do 'esquenta black friday'. Arrumaê, amazon! xD",False,,human_cal_session_v1,True
HB_0039,1402854,@AmazonHelp I've just been watching the latest episode of Mr Robot on Prime Video &amp; there's whole patches with no English translation subs!,False,,human_cal_session_v1,True
HB_0040,142048,"@AmazonHelp hey, on another note, two of my recent purchases which i asked for a return, havent been picked up yet. it's been more than two weeks.",False,,human_cal_session_v1,True
HB_0041,440313,@AmazonHelp I have choose this platform only because cs was not solving my problem. I have already mail you to ask about my refund@amazonIN @AmazonHelp,True,5,human_cal_session_v1,True
HB_0042,1493262,@AmazonHelp my package has been sat at a carrier facility since 5:51am with no update can you help please?,False,,human_cal_session_v1,True
HB_0043,2939129,"Hätte ich Standard-Versand bei @116316 gewählt wäre die wichtige Firmenlieferung schon da, der Premiumversand hat noch 1 Stunde um während der Bürozeiten einzutreffen...",False,,human_cal_session_v1,True
HB_0044,2436373,@AmazonHelp Already done. Still NEVER had a delivery to my preferred safe place though!!! It should be IN the shed not IN the garden!!! £79/yr for what?,False,,human_cal_session_v1,True
