groundedness,helpfulness,empathy,safety,brevity,total,strengths,weaknesses,message_id,text,true_intent,agent_reply
5,5,5,5,5,25,"The reply is empathetic, professional, and provides a clear, secure path to resolution via direct message.",None identified as the response follows standard support protocols perfectly.,GS_0001,@AmazonHelp I have an Prime account and three of my last order are delayed. I had several calls with your french department assistance. And no one is able to give me « real » answer the point is I paid for a service which is to be delivered in 24h and for theses order it’s 5days now,ORDER_STATUS,I am very sorry to hear about the repeated delays with your orders and the frustration caused by the lack of clear information. I would like to look into this for you. Please send us a DM with your order numbers so we can investigate this further. ^AM
5,5,5,5,5,25,"The agent provides a warm, empathetic tone while offering a clear, secure, and actionable path to resolution via DM.",None identified as the response follows standard professional support protocols for social media.,GS_0002,"@AmazonHelp DPD, they sent me a text at 10:07 saying they would deliver my Amazon order between 11:28 and 12:28",ORDER_STATUS,I am very sorry for the uncertainty regarding your delivery window. I understand how frustrating it is to wait for a package. Please send us a DM with your order number so we can look into the status of your shipment for you. ^AM
5,5,5,5,5,25,"The reply is highly empathetic, professional, and provides a clear, secure path for resolution via DM.",None identified as the response follows standard support protocols perfectly.,GS_0003,@115850  unsatisfied Eid  amazon. Too much bad 405-8158996-7018755.order still not recieve too much fake commitment from representative,ORDER_STATUS,"I am truly sorry to hear about the delay and the frustration this has caused, especially during Eid. We want to look into this for you right away. Please send us a DM with your order number so we can investigate the status and assist you further. ^AM"
5,4,4,5,3,21,"The agent provides a clear, accurate explanation of company policy while maintaining a professional and helpful tone.",The response is slightly wordy and could have been more concise to better fit the Twitter format.,GS_0004,Does @115821 do price adjustments? My order was placed on 01 OCT.  @AmazonHelp,GENERAL_COMPLAINT,"I’m sorry for the frustration regarding your order pricing. We don't offer price adjustments after an order is placed, as our prices fluctuate based on market demand. Please send us a DM so we can take a closer look at your specific order details. ^AS"
5,5,5,5,5,25,"The agent provides a warm, empathetic acknowledgment of the customer's frustration and offers a clear, secure path to resolution via DM.","None identified; the response is professional, concise, and follows standard support protocols.",GS_0005,@AmazonHelp this is now the second item in a week that has failed to arrive on time or at all. Getting quite fed up with Prime.,ORDER_STATUS,I am very sorry to hear about these repeated delivery delays; I understand how frustrating this is when you rely on Prime. We would like to look into this for you right away. Please send us a DM with your order details so we can investigate what is happening. ^AM
5,5,5,5,5,25,"The agent provides a clear, empathetic, and secure path to resolution by directing the customer to a private channel.",None identified as the response follows standard support protocols perfectly.,GS_0006,@115850 I ordered earphones (no. - 408-1899080-9287553 ) . Delivery Never even came to me.  Really disappointed with the service . https://t.co/YHJgYR5tga,ORDER_STATUS,I am very sorry to hear that your earphones have not arrived as expected. I understand how frustrating this delay is. Please send us a DM with your order number so we can look into the status of your delivery and assist you further. ^AM
5,5,5,5,5,25,"The agent provides a professional, empathetic, and secure path to resolution by moving the conversation to DMs.",None identified as the response follows standard support protocols perfectly.,GS_0007,@AmazonHelp Still no change to my delivery and the game comes out tomorrow? Help? 😰 https://t.co/nTXP7gMbqX,ORDER_STATUS,I am very sorry to hear about the delay with your pre-order; I understand how frustrating it is to wait for a new release. Please send us a DM with your order number so we can look into the status of your delivery for you. ^AM
5,5,5,5,5,25,"The reply is empathetic, provides a clear actionable next step, and adheres to security protocols by moving the conversation to DMs.",None identified.,GS_0008,"I don't know if I want to order anything from @115821 for Black Friday this year considering they have delivered my last 3 packages to the wrong apartment building, two of which were really expensive",DELIVERY_DAMAGE,I am very sorry to hear about these repeated delivery issues; I understand how frustrating it is to have your packages misdelivered. We would like to look into this for you right away. Please send us a DM with your order details so we can investigate this further. ^AM
5,5,5,5,5,25,"The agent provides a warm, empathetic acknowledgment and a clear, secure path to resolution via DM.","None identified; the response is professional, concise, and follows standard support protocols.",GS_0009,@AmazonHelp Either stuff is missing at drop off or delayed past doorstep delivery time... or this weekend site wasn’t working.,DELIVERY_DAMAGE,I am very sorry to hear about the trouble you've had with your recent deliveries and the site issues. I would like to look into this for you right away. Please send us a DM with your order details so we can investigate what happened and assist you further. ^AM
5,5,5,5,5,25,"The agent provides a clear, empathetic, and actionable path to resolution by inviting a DM to resolve the specific technical issue mentioned.","None identified; the response is professional, concise, and addresses all aspects of the customer's complaint.",GS_0010,@117795 my order is 30 minutes late and the customer service call back isn’t working...someone DM me!! Please!!! https://t.co/sunveHteiQ,ORDER_STATUS,I am very sorry for the delay and the frustration with our callback service. I would like to look into this for you right away. Please send us a DM with your order details so we can investigate what is happening and assist you further. ^AM
5,5,5,5,5,25,"The agent provides a highly empathetic response and a clear, secure path to resolution via direct message.","None identified as the response is professional, concise, and follows standard support protocols.",GS_0011,It’s great that @115821 prime gives discounts on special editions. This is the second one we’ve order and both were damaged. Never again. 😡,DELIVERY_DAMAGE,"I am so sorry to hear that your special editions arrived damaged again. I understand how frustrating this is, especially when you were looking forward to them. Please send us a DM with your order details so we can look into this and make it right for you. ^AM"
5,5,5,5,5,25,"The agent provides a practical troubleshooting step while maintaining a warm, empathetic tone and clear instructions for further support.","None identified as the response is concise, safe, and helpful.",GS_0012,@AmazonHelp I'm trying to cancel an order from the Amazon app but it just leads me to a white screen with nothing and it's not shipped or anything how do I cancel it,ORDER_STATUS,"I am sorry to hear you are having trouble canceling your order due to that app error. That sounds very frustrating. Please try accessing your account via a web browser on a computer to see if that works. If you still need help, please send us a DM so we can assist. ^MA"
5,5,5,5,5,25,"The agent provides a highly empathetic response that acknowledges the customer's specific pain point and offers a secure, actionable path to resolution.","None identified; the response is professional, concise, and follows standard support protocols.",GS_0013,"@115821 ordered ink on 10/1 and still hasn't been delivered. i need to be able to print from home and do my job, how is this prime? https://t.co/LEp5jCKzht",ORDER_STATUS,"I am very sorry for the delay, especially since you need your ink for work. I understand how frustrating this is. Please send us a DM with your order number so we can look into the status of your shipment and assist you further. ^AM"
5,5,5,5,5,25,"The reply is professional, empathetic, and provides a clear, secure path to resolution via direct message.",None identified as the response adheres to all best practices for social media customer support.,GS_0014,WTH is going on at @115821 2 horribly screwed up Prime orders in the same week?,GENERAL_COMPLAINT,I am very sorry to hear about the trouble you've had with your recent orders; that is certainly not the experience we want for you. Please send us a DM so we can look into what happened and see how we can best assist you. ^AM
5,5,5,5,5,25,"The reply is professional, empathetic, and provides a clear, secure path to resolution via direct message.",None identified as the response follows standard support protocols perfectly.,GS_0015,@173744 I’m a bit confused!  How is it if I placed an order now (Monday at 10:04am) that one day deliver is on Thursday?  What happened to Tuesday and Wednesday? #calendarrevamp? #confused @115830 @AmazonHelp,ORDER_STATUS,I understand how frustrating it is when delivery estimates don't align with your expectations. Delivery dates depend on stock availability and shipping cut-off times. Please send us a DM with your order number so we can look into this specific shipment for you. ^AM
2,4,5,2,5,18,"The agent provides a warm, empathetic tone and a clear, actionable next step for the customer.","The agent fails to follow security protocols by encouraging the customer to share sensitive account information via DM, which contradicts standard privacy policies.",GS_0016,@AmazonHelp Are you guys able to DM so I can screenshot my item and address plus tracking #,ORDER_STATUS,I’m sorry to hear you’re having trouble with your order status. We want to get this sorted out for you. Please send us a DM so we can look into this further and provide the best next steps to assist you. ^AM
5,5,5,5,5,25,"The agent provides a warm, empathetic tone while offering a clear, secure, and actionable path to resolution via DM.",None identified as the response follows standard professional support protocols for social media.,GS_0017,@115850   ordered using fast delivery but still not recieved the order and followed up thrice at call centre please do something.patetic😡,ORDER_STATUS,I am very sorry to hear about the delay and the frustration this has caused you. We want to look into this immediately. Please send us a DM with your order details so we can investigate the status of your shipment and assist you further. ^AM
