message_id,X_G,X_H,X_E,X_S,X_B,X_total,Y_G,Y_H,Y_E,Y_S,Y_B,Y_total,human_agent,judge_agent
GS_0042,3,4,4,5,5,21,4,3,2,5,5,19,21,25.0
GS_0054,4,4,4,5,3,20,4,3,2,5,5,19,20,24.0
GS_0159,4,3,2,5,5,19,4,4,4,5,5,22,22,25.0
GS_0121,4,3,2,5,5,19,4,3,4,5,3,19,19,25.0
GS_0046,4,3,2,5,5,19,4,4,4,5,5,22,22,25.0
GS_0068,4,3,2,5,5,19,4,3,4,5,5,21,21,25.0
GS_0076,4,3,2,5,5,19,4,3,4,5,5,21,21,24.0
GS_0132,4,3,2,5,5,19,3,2,3,5,5,18,18,23.0
GS_0012,4,4,4,5,3,21,4,3,2,5,5,19,21,23.0
GS_0001,4,4,5,5,3,21,4,3,2,5,5,19,21,25.0
GS_0006,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0014,4,3,4,5,3,19,4,3,2,5,5,19,19,25.0
GS_0018,4,3,2,5,5,19,5,4,4,5,3,21,21,25.0
GS_0025,4,4,3,5,5,21,4,3,2,5,5,19,21,24.0
GS_0036,4,3,2,5,5,19,5,5,4,5,3,22,22,25.0
GS_0167,4,4,4,5,3,20,4,3,2,5,5,19,20,25.0
GS_0193,4,4,4,5,3,20,4,3,2,5,5,19,20,25.0
GS_0117,4,3,2,5,5,19,4,4,4,5,3,20,20,24.0
GS_0008,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0197,4,3,4,5,3,18,4,3,2,5,5,19,18,25.0
GS_0196,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0056,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0141,4,3,2,5,5,19,4,4,4,5,5,22,22,24.0
GS_0082,4,3,2,5,5,19,4,4,4,5,5,22,22,25.0
GS_0165,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0119,4,4,4,5,3,20,4,3,2,5,5,19,20,23.0
GS_0146,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0019,4,3,2,5,5,19,4,4,5,5,3,21,21,25.0
GS_0113,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0059,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0088,4,4,3,5,5,21,4,3,2,5,5,19,21,24.0
GS_0030,4,3,2,5,5,19,4,4,4,5,5,22,22,25.0
GS_0194,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0190,4,3,2,5,5,19,4,4,4,5,5,22,22,24.0
GS_0192,4,3,3,5,3,18,4,3,2,5,5,19,18,24.0
GS_0128,4,3,2,5,5,19,4,4,4,5,3,20,20,24.0
GS_0111,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0157,4,3,2,5,5,19,5,4,4,5,3,21,21,25.0
GS_0162,4,4,4,5,3,20,4,3,2,5,5,19,20,25.0
GS_0032,4,3,2,5,5,19,4,4,4,5,5,22,22,25.0
GS_0246,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0077,4,3,2,5,5,19,4,4,4,5,5,22,22,25.0
GS_0093,4,4,4,5,3,20,4,3,2,5,5,19,20,23.0
GS_0147,4,3,2,5,5,19,4,4,4,5,3,20,20,24.0
GS_0091,4,3,2,5,5,19,5,4,4,5,3,21,21,25.0
GS_0047,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0195,4,3,2,5,5,19,4,4,4,5,5,22,22,25.0
GS_0061,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0207,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0169,4,4,4,5,3,20,4,3,2,5,5,19,20,25.0
GS_0245,4,3,4,5,3,19,4,3,2,5,5,19,19,23.0
GS_0209,4,3,2,5,5,19,3,3,3,5,5,19,19,24.0
GS_0229,4,3,2,5,5,19,4,4,3,5,5,21,21,24.0
GS_0094,4,3,2,5,5,19,4,4,4,5,3,20,20,24.0
GS_0233,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0177,4,4,4,5,5,22,4,3,2,5,5,19,22,24.0
GS_0160,4,4,5,5,3,21,4,3,2,5,5,19,21,24.0
GS_0200,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0133,4,3,2,5,5,19,3,3,3,5,5,19,19,24.0
GS_0205,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0234,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0123,4,3,2,5,5,19,4,4,4,5,3,20,20,23.0
GS_0189,4,4,4,5,3,20,4,3,2,5,5,19,20,25.0
GS_0029,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0017,4,4,4,5,3,20,4,3,2,5,5,19,20,25.0
GS_0239,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0238,4,3,2,5,5,19,4,4,4,5,3,20,20,25.0
GS_0033,4,3,2,5,5,19,4,4,4,5,5,22,22,25.0
GS_0235,4,4,4,5,5,22,4,3,2,5,5,19,22,25.0
GS_0142,4,3,2,5,5,19,4,4,4,5,5,22,22,24.0
