message_id,groundedness,helpfulness,empathy,safety,brevity,total,notes
GS_0042,3,4,4,5,5,21,"blind pair, agent side"
GS_0054,4,4,4,5,3,20,"blind pair, agent side"
GS_0159,4,4,4,5,5,22,"blind pair, agent side"
GS_0121,4,3,4,5,3,19,"blind pair, agent side"
GS_0046,4,4,4,5,5,22,"blind pair, agent side"
GS_0068,4,3,4,5,5,21,"blind pair, agent side"
GS_0076,4,3,4,5,5,21,"blind pair, agent side"
GS_0132,3,2,3,5,5,18,"blind pair, agent side"
GS_0012,4,4,4,5,3,21,"blind pair, agent side"
GS_0001,4,4,5,5,3,21,"blind pair, agent side"
GS_0006,4,4,4,5,3,20,"blind pair, agent side"
GS_0014,4,3,4,5,3,19,"blind pair, agent side"
GS_0018,5,4,4,5,3,21,"blind pair, agent side"
GS_0025,4,4,3,5,5,21,"blind pair, agent side"
GS_0036,5,5,4,5,3,22,"blind pair, agent side"
GS_0167,4,4,4,5,3,20,"blind pair, agent side"
GS_0193,4,4,4,5,3,20,"blind pair, agent side"
GS_0117,4,4,4,5,3,20,"blind pair, agent side"
GS_0008,4,4,4,5,3,20,"blind pair, agent side"
GS_0197,4,3,4,5,3,18,"blind pair, agent side"
GS_0196,4,4,4,5,3,20,"blind pair, agent side"
GS_0056,4,4,4,5,5,22,"blind pair, agent side"
GS_0141,4,4,4,5,5,22,"blind pair, agent side"
GS_0082,4,4,4,5,5,22,"blind pair, agent side"
GS_0165,4,4,4,5,5,22,"blind pair, agent side"
GS_0119,4,4,4,5,3,20,"blind pair, agent side"
GS_0146,4,4,4,5,5,22,"blind pair, agent side"
GS_0019,4,4,5,5,3,21,"blind pair, agent side"
GS_0113,4,4,4,5,5,22,"blind pair, agent side"
GS_0059,4,4,4,5,3,20,"blind pair, agent side"
GS_0088,4,4,3,5,5,21,"blind pair, agent side"
GS_0030,4,4,4,5,5,22,"blind pair, agent side"
GS_0194,4,4,4,5,5,22,"blind pair, agent side"
GS_0190,4,4,4,5,5,22,"blind pair, agent side"
GS_0192,4,3,3,5,3,18,"blind pair, agent side"
GS_0128,4,4,4,5,3,20,"blind pair, agent side"
GS_0111,4,4,4,5,5,22,"blind pair, agent side"
GS_0157,5,4,4,5,3,21,"blind pair, agent side"
GS_0162,4,4,4,5,3,20,"blind pair, agent side"
GS_0032,4,4,4,5,5,22,"blind pair, agent side"
GS_0246,4,4,4,5,3,20,"blind pair, agent side"
GS_0077,4,4,4,5,5,22,"blind pair, agent side"
GS_0093,4,4,4,5,3,20,"blind pair, agent side"
GS_0147,4,4,4,5,3,20,"blind pair, agent side"
GS_0091,5,4,4,5,3,21,"blind pair, agent side"
GS_0047,4,4,4,5,3,20,"blind pair, agent side"
GS_0195,4,4,4,5,5,22,"blind pair, agent side"
GS_0061,4,4,4,5,3,20,"blind pair, agent side"
GS_0207,4,4,4,5,5,22,"blind pair, agent side"
GS_0169,4,4,4,5,3,20,"blind pair, agent side"
GS_0245,4,3,4,5,3,19,"blind pair, agent side"
GS_0209,3,3,3,5,5,19,"blind pair, agent side"
GS_0229,4,4,3,5,5,21,"blind pair, agent side"
GS_0094,4,4,4,5,3,20,"blind pair, agent side"
GS_0233,4,4,4,5,3,20,"blind pair, agent side"
GS_0177,4,4,4,5,5,22,"blind pair, agent side"
GS_0160,4,4,5,5,3,21,"blind pair, agent side"
GS_0200,4,4,4,5,5,22,"blind pair, agent side"
GS_0133,3,3,3,5,5,19,"blind pair, agent side"
GS_0205,4,4,4,5,5,22,"blind pair, agent side"
GS_0234,4,4,4,5,5,22,"blind pair, agent side"
GS_0123,4,4,4,5,3,20,"blind pair, agent side"
GS_0189,4,4,4,5,3,20,"blind pair, agent side"
GS_0029,4,4,4,5,3,20,"blind pair, agent side"
GS_0017,4,4,4,5,3,20,"blind pair, agent side"
GS_0239,4,4,4,5,3,20,"blind pair, agent side"
GS_0238,4,4,4,5,3,20,"blind pair, agent side"
GS_0033,4,4,4,5,5,22,"blind pair, agent side"
GS_0235,4,4,4,5,5,22,"blind pair, agent side"
GS_0142,4,4,4,5,5,22,"blind pair, agent side"
