message_id,thread_id,text
H_0001,912889,@AmazonHelp I want my refund as soon possible waiting for 1 month that Amazon will pick up the parcel but yet it has not been picked up need my amount
H_0002,756341,"@AmazonHelp That it got delivered to someone called Karen, no idea who that is. And there was no card left in my letterbox,"
H_0003,657867,@115821 has this really cool new feature where it takes a photo of where the the delivery man left your package. This is a great feature to figure out that they delivered it to the wrong house 🙃 https://t.co/1WYiOMumrB
H_0004,546457,Thanks to the idiot @127161 driver to left our package outside the front door for anyone to take! @117795 do something about this!
H_0005,2605690,@AmazonHelp Oui pile poile. Sauf que j’ai commandé tout ce passe bien. Je reçois un mail comme quoi mon compte est verouillé
H_0006,320073,@115830 calls itself 'Earths most customer-centric company' 😐 The service I have rec'd since being hacked on mon has been shocking!
H_0007,288206,"@AmazonHelp J’ai contacté le vendeur. Pour l’article vendu par Amazon aucun soucis, dans le détail des commandes je vois écris en vert «total du"
H_0008,1406545,"@AmazonHelp Yes, three times actually."
H_0009,2964041,After a hiccup with a return issue this morning all was made well by early afternoon @115821 Thank You Rodrigo in Costa Rica
H_0010,1773823,@AmazonHelp Order is already canceled. 2nd cancelation this week. I will think twice before ordering anything with Amazon again.
H_0011,80681,@AmazonHelp Spoke to the delivery guy said he'll be here in 2mins but it's already 15mins!!
H_0012,2836969,@AmazonHelp Thanks. I was thinking of the Phillips Hue light bulbs specifically.
H_0013,1724893,@AmazonHelp An order today was not delivered by 8pm. I waited in front of my place of business and proceeded to cancel delivery due to not arriving.
H_0014,180010,"@AmazonHelp I've contacted them by chat 3 times, at different times, they said it's status is ""delivered"" , but nothing came through my letterbox/mailbo"
H_0015,278705,"@118919 404-9063352-8933925 this is my order no.I cancelled it soon after placing order. But i want refund, your customer supoout.."
H_0016,1369558,@115821 @AmazonHelp need to work on your AMZL delivery service! 3 people home all day there was NO attempt for delivery. Very disappointed https://t.co/jvSfPX9J5q
H_0017,1103517,アマゾンで注文して商品を待ってたのに… キャンセルしました！ また再度、注文し直してください！ との事。 はぁー？？ なぜ？？ https://t.co/SR4d56rVmf
H_0018,977729,@AmazonHelp Change your gaeway many people have done a fraud in your amazon.in site by order amazon egv by hacked indian credit card
H_0019,907085,@AmazonHelp y'all charged me twice for my prime membership ...
H_0020,399097,@AmazonHelp U nonsense can't u see... Everything is shared https://t.co/Qo7vnrJhSh
H_0021,1380644,@AmazonHelp Nothing else at all... Annoyingly I purchased it more than 14 days ago so can't get a refund. Won't even bring option up on managing content
H_0022,2278737,@AmazonHelp What's the best number to call about being hacked and email changed? And what hours id it operational?
H_0023,1416555,"@AmazonHelp hi, I’ve only used twice Amazon Spain, last time it came 1 month later than what it said in your webpage and now with Amazon Prime it’s running late again, around 1w. It’s hard for somebody to be home and I don’t know my neighbors. Gonna think twice b4 using you again"
H_0024,315040,@115850 today I ordered shoes..And order has cancel led by mistake..Pls refund as soon as possible https://t.co/wsY9rtYk2W
H_0025,721442,@115850 @AmazonHelp how long would you take to dispatch the shipment shameless people.. https://t.co/z8CWOLq93F
H_0026,1850643,"@AmazonHelp Still not heard back,,,, ordered in July still not resolved...."
H_0027,320585,"@AmazonHelp Now i don't have patience cheaters, fraud Amazon @115850 @AmazonHelp"
H_0028,420626,@AmazonHelp Plz look into order # 403-7021068-2824334.Made single order for J7 Prime that was cancelled by U.FOR GOD'S SAKE REFUND MY AMOUNT
H_0029,2454471,@AmazonHelp it was delayed twice now. and i spoke to you guys and i was trying to see why it was delayed again to get some info and the agent was saying that hes not honoring what the last guy i spoke to was going to do. until i said i wanted my money back to go to a different company
H_0030,430608,@115830 my order has been saying dispatching now for 48hours and i choose one day prime for today delivery but they never came
H_0031,2734339,"@AmazonHelp Is there a backlog on approving new reviews? I posted two about 12hrs ago, got the standard ""Thank you"" msg back, but still no reviews posted nor emails one way or the other. Thanks"
H_0032,2675340,"@AmazonHelp And refunded, because address is ""wrong"" (not true I can prove) Now after 2 weeks same product cost on Amazon on 20% more."
H_0033,1384110,@115821 please fix my Prime Membership trial. I agreed to try but @AmazonHelp canceled my order &amp; claimed I’d used my Prime trial. 3 months customer Service didn’t help. Finally said I’d receive e-mail to reinstate Prime Mem Trial but nothing. PM me for my acct info please
H_0034,429554,@115850 how do I contact your customer care call center?Not able to get to talk to an actual human and the automated system is not helping
H_0035,406614,"@AmazonHelp Hi, still no call back yet. Package now lost apparently and hit and miss which CS agent can call logistics. Some can some can’t. why? #livid"
H_0036,2226557,"@115850 , not satisfied with services, still didnt get the promised cashback for ORDER # 407-4367829-2044338,Please check."
H_0037,490565,@115821 ordered somethin on monday morning with one day shipping. it’s friday and still no package. let’s talk
H_0038,1118034,@AmazonHelp The only one who has received false delivery emails. Thanks for listening to my rant
H_0039,1213433,@138064 hi can you try fixing not losing $900 of groceries in transit twice before you do this @115821 @117093 THANK YOU KINDLY
H_0040,1763838,@154440 @115830 had ‘Barista’ on order for five weeks now and still no stock or delivery. Why the long delay? This stuff is hard to get!
H_0041,727102,@115850 @AmazonHelp @115821 Pathetic service 4m Amazon &amp; delivery! Product got out of stock &amp; u blame customer sayin it was refused. Shame https://t.co/TpsUByEOCO
H_0042,1111358,"@AmazonHelp Ixi, já perdi as contas.. mais de 200 🙈😱"
H_0043,86159,"Paid for @115821 prime just to still not have my package here 5 Days later 🙃. Patiently awaits tho bro,"
H_0044,989198,@115850 here it shows no shipping charges. But when I go to product page it shows 60 bucks as shipping?? https://t.co/6av8nY2jFC
H_0045,1726335,ふー💨💨Amazonプライム、iPadでも設定したから動物動画や番組を子供に見せられる！現代って凄い！
H_0046,2398193,So I called amazon they contacted the delivery service and they have confirmed today for my package. They will can if something happens
H_0047,2478826,@AmazonHelp I sent x 2 items back to you on 7th November. You have refund one item. The other for £154.99 has not been refund. I’ve been told to wait 7 working days. I’ve waited and still no money in my account. Where is my REFUND AMAZON??? Your custemure service #sucks #terible
H_0048,2452167,@AmazonHelp This item is not returnable. Can you please ask seller to ship missing/ defective parts? I will return defective part which I have.
H_0049,2950731,https://t.co/U8lZZKesKb @115830 HI CAN PLEASE LOOK AT THIS LINK AS I WOULD LIKE TO KNOW CAN YOU GET THESES IN SO I CAN ORDER ONE PLEASE @115821.COM HAD SOME BUT SOLD OUT THERE CALLED OUTERNET LIGHTHOUSE SATELLITE RECEIVERS I WOULD BE HONNORED IF YOU COULD TWEET ME BACK THANK U
H_0050,388863,@AmazonHelp Order no-407-4421210-3428346 refund was not issued till date.plz resolve dis issue ASPA.
