message_id,text,true_intent,pred_intent,intent_confidence,draft_reply,reply_char_count,reference_reply,retrieval_top1_sim,escalation_decision,escalation_reason
GS_0001,@AmazonHelp I have an Prime account and three of my last order are delayed. I had several calls with your french department assistance. And no one is able to give me « real » answer the point is I paid for a service which is to be delivered in 24h and for theses order it’s 5days now,ORDER_STATUS,ORDER_STATUS,0.95,I am very sorry to hear about the repeated delays with your orders and the frustration caused by the lack of clear information. I would like to look into this for you. Please send us a DM with your order numbers so we can investigate this further. ^AM,251,"@232311 I'm sorry about the poor experience you're having with deliveries! Is there an order that's late? Which Amazon site do you order from, https://t.co/nUUp5MLhYl or https://t.co/ykTUEmdsQA? ^FR",0.7934,escalate,[rule:repeat_contact] Prior support contact failed or is explicitly referenced — hand off to human.
GS_0002,"@AmazonHelp DPD, they sent me a text at 10:07 saying they would deliver my Amazon order between 11:28 and 12:28",ORDER_STATUS,ORDER_STATUS,1.0,I am very sorry for the uncertainty regarding your delivery window. I understand how frustrating it is to wait for a package. Please send us a DM with your order number so we can look into the status of your shipment for you. ^AM,229,@281285 Glad to hear it Daz. Let us know if it does not arrive.^BZ,0.7903,auto,[ORDER_STATUS] rules passed
GS_0003,@115850  unsatisfied Eid  amazon. Too much bad 405-8158996-7018755.order still not recieve too much fake commitment from representative,ORDER_STATUS,ORDER_STATUS,0.95,"I am truly sorry to hear about the delay and the frustration this has caused, especially during Eid. We want to look into this for you right away. Please send us a DM with your order number so we can investigate the status and assist you further. ^AM",250,"@696285 I'm truly sorry about that, Shubham. Please report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this for you. ^NK",0.7782,escalate,[rule:public_pii] Customer posted an order ID or phone number publicly — human should handle and advise removal.
GS_0004,Does @115821 do price adjustments? My order was placed on 01 OCT.  @AmazonHelp,GENERAL_COMPLAINT,GENERAL_COMPLAINT,0.85,"I’m sorry for the frustration regarding your order pricing. We don't offer price adjustments after an order is placed, as our prices fluctuate based on market demand. Please send us a DM so we can take a closer look at your specific order details. ^AS",251,"@810550 sorry to hear that, our inventory changes all the time ^AS",0.7851,auto,[GENERAL_COMPLAINT] rules passed
GS_0005,@AmazonHelp this is now the second item in a week that has failed to arrive on time or at all. Getting quite fed up with Prime.,ORDER_STATUS,ORDER_STATUS,0.95,I am very sorry to hear about these repeated delivery delays; I understand how frustrating this is when you rely on Prime. We would like to look into this for you right away. Please send us a DM with your order details so we can investigate what is happening. ^AM,263,@463413 Apologies Alan - Has your order dispatched? Were you provided a reason as to why your orders have been delayed? ^TP,0.8051,auto,[ORDER_STATUS] rules passed
GS_0006,@115850 I ordered earphones (no. - 408-1899080-9287553 ) . Delivery Never even came to me.  Really disappointed with the service . https://t.co/YHJgYR5tga,ORDER_STATUS,ORDER_STATUS,1.0,I am very sorry to hear that your earphones have not arrived as expected. I understand how frustrating this delay is. Please send us a DM with your order number so we can look into the status of your delivery and assist you further. ^AM,236,@151984 Apologies for the issues with the latest orders. Kindly fill in your details here: https://t.co/beaaDm0muc and we’ll contact you soon. ^MN,0.8138,escalate,[rule:public_pii] Customer posted an order ID or phone number publicly — human should handle and advise removal.
GS_0007,@AmazonHelp Still no change to my delivery and the game comes out tomorrow? Help? 😰 https://t.co/nTXP7gMbqX,ORDER_STATUS,ORDER_STATUS,1.0,I am very sorry to hear about the delay with your pre-order; I understand how frustrating it is to wait for a new release. Please send us a DM with your order number so we can look into the status of your delivery for you. ^AM,226,@636821 Oh no Sean! I am sorry that your order has not arrived. Who is the carrier listed here:  https://t.co/aaDyEz1VgE ? ^TL,0.8247,auto,[ORDER_STATUS] rules passed
GS_0008,"I don't know if I want to order anything from @115821 for Black Friday this year considering they have delivered my last 3 packages to the wrong apartment building, two of which were really expensive",DELIVERY_DAMAGE,DELIVERY_DAMAGE,0.95,I am very sorry to hear about these repeated delivery issues; I understand how frustrating it is to have your packages misdelivered. We would like to look into this for you right away. Please send us a DM with your order details so we can investigate this further. ^AM,268,@379657 I'm sorry for the trouble this may have caused; we'd like to help in any way we can! Who was the carrier listed for this order: https://t.co/Y5jpI9gRhE? ^WM,0.7625,auto,[DELIVERY_DAMAGE] rules passed
GS_0009,@AmazonHelp Either stuff is missing at drop off or delayed past doorstep delivery time... or this weekend site wasn’t working.,DELIVERY_DAMAGE,DELIVERY_DAMAGE,0.85,I am very sorry to hear about the trouble you've had with your recent deliveries and the site issues. I would like to look into this for you right away. Please send us a DM with your order details so we can investigate what happened and assist you further. ^AM,260,"@339787 Hi, I'm sorry to hear about this. Have you had any updates on your tracking about the reason behind the delay? ^PJ",0.7781,auto,[DELIVERY_DAMAGE] rules passed
GS_0010,@117795 my order is 30 minutes late and the customer service call back isn’t working...someone DM me!! Please!!! https://t.co/sunveHteiQ,ORDER_STATUS,ORDER_STATUS,0.95,I am very sorry for the delay and the frustration with our callback service. I would like to look into this for you right away. Please send us a DM with your order details so we can investigate what is happening and assist you further. ^AM,239,@317225 I'm so sorry for the delay! It looks like Tiffany is still on her way. Have you reported these experiences to our customer service team by phone or e-mail: https://t.co/iZmw91U127? ^ST,0.805,escalate,[rule:repeat_contact] Prior support contact failed or is explicitly referenced — hand off to human.
